Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02.d	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_timsTOF/LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03.d
P83111	LACTB_HUMAN	LACTB	Serine beta-lactamase-like protein LACTB, mitochondrial	5	5	57936	51351.6	60749.6	54898.3	47979	44623	52105.4	53846.3	49145.3	57664.4	56767	46323.2	58506.9	55759.4	57978.6	53258.7	52169.3	52237.9
P83369	LSM11_HUMAN	LSM11	U7 snRNA-associated Sm-like protein LSm11	4	4	35163	32528.3	32978.6	36178	36019.4	33850.1	37693.3	32627.5	34215.2	38493.4	33627.6	29642.9	39067.3	36170.8	37823.6	33244.1	30711.9	33354.8
P83436	COG7_HUMAN	COG7	Conserved oligomeric Golgi complex subunit 7	19	19	293967	266570	267062	281729	264611	284374	249116	266924	271750	265879	266726	253936	282685	294720	273487	287103	278601	285487
P83731	RL24_HUMAN	RPL24	Large ribosomal subunit protein eL24	3	3	882488	926942	930617	864141	905429	960978	867705	812222	1.08292e+06	982481	1.02065e+06	975338	964292	1.01425e+06	939133	1.01318e+06	1.05469e+06	1.13379e+06
P83876	TXN4A_HUMAN	TXNL4A	Thioredoxin-like protein 4A	4	4	225709	233308	187366	225887	207321	205773	222390	225938	216074	235864	208684	213566	213372	233001	223616	215435	240700	228121
P83881	RL36A_HUMAN	RPL36A	Large ribosomal subunit protein eL42	3	1	164794	163164	176296	172673	196930	188879	189484	178117	179341	160033	169237	159723	153706	159031	158946	151982	156618	165682
P83916	CBX1_HUMAN	CBX1	Chromobox protein homolog 1	3	3	521005	469726	464440	494492	398058	462628	513640	532219	455305	511347	481974	446456	495609	487411	492773	501753	498873	498130
P84022	SMAD3_HUMAN	SMAD3	SMAD family member 3	2	2	12842.7		9436.44	15562.9	10149.4	13319	9936.13	10824.1		11965.6	5909.58	14382.6	5481.1	10789.3	6265.54	12836.2	12433.3	7251.21
P84077	ARF1_HUMAN	ARF1	ADP-ribosylation factor 1	5	1	2.25807e+06	2.08241e+06	1.76824e+06	1.98948e+06	1.76052e+06	1.55028e+06	2.00359e+06	1.78158e+06	1.37749e+06	2.34829e+06	2.13718e+06	2.08087e+06	2.16456e+06	1.98714e+06	1.78945e+06	2.02468e+06	2.08134e+06	1.70999e+06
P84085	ARF5_HUMAN	ARF5	ADP-ribosylation factor 5	10	5	1.3422e+06	1.49161e+06	1.47726e+06	1.70908e+06	1.595e+06	1.45832e+06	1.48168e+06	1.60816e+06	1.43263e+06	1.589e+06	1.63643e+06	1.70318e+06	1.58171e+06	1.67463e+06	1.53442e+06	1.57096e+06	1.67796e+06	1.60202e+06
P84090	ERH_HUMAN	ERH	Enhancer of rudimentary homolog	3	3	3.08178e+06	1.77428e+06	1.81992e+06	1.41972e+06	1.9112e+06	1.89925e+06	1.51655e+06	1.62718e+06	1.88349e+06	2.93965e+06	2.27814e+06	2.00126e+06	2.43782e+06	2.68292e+06	2.19426e+06	2.33472e+06	1.93156e+06	2.54008e+06
P84095	RHOG_HUMAN	RHOG	Rho-related GTP-binding protein RhoG	4	4	984526	911427	941013	901707	928608	908386	972580	945999	896316	979175	966277	976612	974821	931284	949805	956090	874573	974934
P84098	RL19_HUMAN	RPL19	Large ribosomal subunit protein eL19	4	4	5.07453e+06	4.43956e+06	4.18713e+06	4.47027e+06	4.01097e+06	4.2994e+06	4.63182e+06	4.1127e+06	4.05949e+06	5.36604e+06	4.99512e+06	4.5318e+06	5.03049e+06	5.02528e+06	4.42469e+06	5.03256e+06	4.65689e+06	4.80632e+06
P84101	SERF2_HUMAN	SERF2	Small EDRK-rich factor 2	1	1	37075.4	68161	55811.7	99753.8	68702	53863.9	53804.6	63505.1	44177.7	52329	104821	99109.7	50773.3	80093.6	59909.5	49320.5	77664	60597.8
P84103	SRSF3_HUMAN	SRSF3	Serine/arginine-rich splicing factor 3	6	5	3.42774e+06	3.17147e+06	3.32736e+06	3.2965e+06	3.10552e+06	3.34338e+06	2.974e+06	3.06128e+06	3.00924e+06	3.73312e+06	2.93525e+06	3.51735e+06	3.24753e+06	2.87879e+06	3.43406e+06	3.30509e+06	3.03104e+06	3.41379e+06
P85037	FOXK1_HUMAN	FOXK1	Forkhead box protein K1	10	10	269654	273370	262682	271063	270721	265864	265123	278852	262473	267706	257677	272727	274850	267071	272667	246154	256170	262528
P86397	HTD2_HUMAN	HTD2	Hydroxyacyl-thioester dehydratase type 2, mitochondrial	1	1				15718.5	17803			12726.6	17155.9			21516.9		24246.8	26098.1	23920.1	19616.5	24765.4
P86790;P86791	CCZ1B_HUMAN;CCZ1_HUMAN	CCZ1;CCZ1B	Vacuolar fusion protein CCZ1 homolog B	10	0	190118	197563	188623	206957	202827	205634	197985	191540	195446	196659	188033	188776	187249	196734	184728	179218	184993	191552
P87108	TIM10_YEAST	TIM10	Mitochondrial import inner membrane translocase subunit TIM10	3	3	69513.9	71229.9	67525.8	67783.8	59010	55310.5	70672.7	63494.3	53193.3	41361.1	42473.6	39339.3	44918	45550.8	34900.7	44536.1	36305.8	37989.5
P89102	SEC5_YEAST	SEC5	Exocyst complex component SEC5	8	8	70813.2	63066.5	70117.8	73195.4	62236.6	73405.8	69403.8	62814	74699.3	31068.8	34216.5		33770.7	41190.6	38465.4	29981.9	34821.3	41210.9
P89105	CTR9_YEAST	CTR9	RNA polymerase-associated protein CTR9	12	12	171091	191790	177352	166830	169896	163065	176349	167824	164838	70646.4	83102.6	86394.8	81973.5	81420.5	68406	80747.5	84124.5	87656.2
P89886	TMA20_YEAST	TMA20	Translation machinery-associated protein 20	6	6	497573	512079	530738	438605	461228	479620	466142	520867	472634	257427	254396	246292	240304	240671	237589	227930	242696	238584
P98082	DAB2_HUMAN	DAB2	Disabled homolog 2	6	6	59540.4	63789.6	63611.2	67248.5	73570.5	71355	72360.7	56080.3	73947.1	68423.9	71042	72571.7	66361.4	65583.7	70847.2	76202.8	67323	66702.1
P98160	PGBM_HUMAN	HSPG2	Basement membrane-specific heparan sulfate proteoglycan core protein	5	5	30632.5	30267.2	28655.2	28540.8	34761.1	31745.2	35483.6	31122.4	41555.3	34519.6	34851.1	33311.9	36883.7	31313.2	31952	33844.5	34022	34183.4
P98170	XIAP_HUMAN	XIAP	E3 ubiquitin-protein ligase XIAP	7	7	87540.4	62546.4	65100	73105.8	69946.4	71733.8	71468.6	62485.9	73703.7	88867.1	81330.8	71165.2	82166.8	78158.9	81450.5	78278.4	75685.8	76337
P98171	RHG04_HUMAN	ARHGAP4	Rho GTPase-activating protein 4	13	13	59286.1	54571.2	51285.5	68138	54677.7	57849.8	63071.6	54683.7	52343.4	60859.1	56733.5	54997.3	62198	55922.2	52572.2	62560.1	51578.5	56082.4
P98173	FAM3A_HUMAN	FAM3A	Protein FAM3A	1	1	29020.3			24665.2			20911.1										29263.7	28103.1
P98175	RBM10_HUMAN	RBM10	RNA-binding protein 10	15	15	260959	251641	244348	246234	230934	244929	214173	245729	239371	295970	270313	263529	276451	268466	262248	278135	286773	265096
P98179	RBM3_HUMAN	RBM3	RNA-binding protein 3	4	4	1.81998e+06	1.56204e+06	1.61385e+06	1.59749e+06	1.55762e+06	1.6851e+06	1.61697e+06	1.58864e+06	1.59939e+06	1.84815e+06	1.65583e+06	1.69776e+06	1.71926e+06	1.70537e+06	1.7018e+06	1.76739e+06	1.45509e+06	1.63645e+06
P98194	AT2C1_HUMAN	ATP2C1	Calcium-transporting ATPase type 2C member 1	5	5	55374.6	59338.6	55957.5	51728.3	61841.6	50355.6	54737.2	54671.3	58058.5	51506.6	58295.9	58779.1	58708	50606	58220.3	56417.5	47193	46884.6
P98196	AT11A_HUMAN	ATP11A	Phospholipid-transporting ATPase IH	1	1	8263.9	8159.09	7819.09	7026.03	8223.55	6002.18	8387.22	6362.22	7782.51	7220.48	6984.98		4311.71	7528.55		7672.07	6651.41	
P99999	CYC_HUMAN	CYCS	Cytochrome c	6	6	7.18243e+06	6.3248e+06	4.99098e+06	6.9127e+06	5.39342e+06	4.94607e+06	6.74065e+06	5.14216e+06	5.52971e+06	6.86627e+06	6.4158e+06	5.23456e+06	6.81547e+06	5.12705e+06	5.99806e+06	7.4448e+06	4.90496e+06	6.09412e+06
P9WEJ3	YM106_YEAST	YMR106W-A	Uncharacterized protein YMR106W-A	1	1	35039.3		50112.1		39396.4	40386.6												
P9WEJ4	YF035_YEAST	YFR035W-A	Uncharacterized protein YFR035W-A	1	1	61643.8	50386	62997.4	58143.7	48852.1	42310.5	51750.9	51831.8	32976.4	11601.8		23451.8	19049.8	20776.2	22778.8	17368.5	21480.6	23202.7
Q00013	EM55_HUMAN	MPP1	55 kDa erythrocyte membrane protein	17	17	650296	684873	670054	682092	678547	670349	631622	692376	689152	692362	644896	673577	665220	740586	668604	690049	730603	729647
Q00055	GPD1_YEAST	GPD1	Glycerol-3-phosphate dehydrogenase [NAD(+)] 1	7	7	1.65016e+06	1.85444e+06	1.77534e+06	1.79125e+06	1.70121e+06	1.68707e+06	1.75151e+06	1.74107e+06	1.69273e+06	915154	923170	894105	921262	1.00779e+06	976314	984988	944864	905642
Q00059	TFAM_HUMAN	TFAM	Transcription factor A, mitochondrial	9	9	506486	524105	565274	517895	578855	597338	554788	576758	592113	584487	618340	627456	580087	602129	645224	569437	612278	640859
Q00169	PIPNA_HUMAN	PITPNA	Phosphatidylinositol transfer protein alpha isoform	8	8	162480	175718	170125	153975	179719	181858	167620	186201	172471	159706	164564	176532	154315	182494	189640	178530	184723	186357
Q00245	RHO3_YEAST	RHO3	GTP-binding protein RHO3	2	2	82152.8	87434.3	72239.3	127774	93979.7	95092.8	92875.4	95560.6	83687.5		49215.9	50816.3		50869.2	28586.3		59493.1	
Q00246	RHO4_YEAST	RHO4	GTP-binding protein RHO4	1	1	31369			27992.8	31143.6													21647.5
Q00325	S25A3_HUMAN	SLC25A3	Solute carrier family 25 member 3	9	9	2.35075e+06	2.21515e+06	2.30779e+06	2.28394e+06	2.00774e+06	2.2803e+06	2.0816e+06	2.19229e+06	1.95251e+06	2.66675e+06	2.355e+06	2.41858e+06	2.6551e+06	2.43459e+06	2.35431e+06	2.94722e+06	2.59872e+06	2.31235e+06
Q00341	VIGLN_HUMAN	HDLBP	Vigilin	37	37	967335	979170	964318	1.0001e+06	963248	981235	999130	985586	948905	1.02841e+06	994612	973301	1.02071e+06	977487	966799	999384	953806	971753
Q00362	2ABA_YEAST	CDC55	Protein phosphatase PP2A regulatory subunit B	6	6	248447	233620	232121	219189	220083	209071	204572	220020	198485	129109	117685	108119	113393	111087	100813	124383	112910	116560
Q00381	AP2S_YEAST	APS2	AP-2 complex subunit sigma	2	2						53703.3	57750											
Q00402	NUM1_YEAST	NUM1	Nuclear migration protein NUM1	31	31	227095	247540	235082	223645	221336	214907	211221	227097	219802	113361	109298	113735	109233	110311	112339	109371	107088	115324
Q00403	TF2B_HUMAN	GTF2B	Transcription initiation factor IIB	9	9	242547	238930	257827	233122	226656	238096	223533	238340	241667	214509	242791	233523	236295	243667	242379	222968	224183	258730
Q00416	SEN1_YEAST	SEN1	Helicase SEN1	6	6	74291	75176.9	67508.3	64262	70653.4	78248.2	50445.9	81974.5	71578.8	22983.4	30853.9	25849.7		28243.4	17058.5	26031.7		
Q00534	CDK6_HUMAN	CDK6	Cyclin-dependent kinase 6	12	12	728951	801522	791528	796044	766819	776917	777528	790928	738027	803889	744940	799728	779487	783552	806529	814518	780395	775985
Q00535	CDK5_HUMAN	CDK5	Cyclin-dependent kinase 5	11	11	347722	309582	346998	328667	313131	331323	323981	331486	324721	342471	335870	327888	327528	353084	321215	323371	325597	333013
Q00536	CDK16_HUMAN	CDK16	Cyclin-dependent kinase 16	5	2	29674.3	21862.2	22947.9	27313.5	21639	15715.8	22866.5	26881.8	22729.1	21441.7	24484.8	24010.6	24125.3	24096	22136.1	21677.4	27796.7	23168.5
Q00537	CDK17_HUMAN	CDK17	Cyclin-dependent kinase 17	4	4	19621.8	15517.5	18185.1	19167.7	22974.4	17856.1	21080.2	20038.2	24325.6	13570.4	18759.8	23811.5	16031.3	16824.6	18424.2	14563.2	17446	21956.1
Q00539	NAM8_YEAST	NAM8	Protein NAM8	2	2	69525.9	69663.1	63989.1	64331.2	55015	57917.3	69536.7	54597.5	56179.2	20592.3	33780.1	26303.2	34268.5	32556.4	23578.1	26056.6	26746.5	25011.9
Q00577	PURA_HUMAN	PURA	Transcriptional activator protein Pur-alpha	5	4	122657	120754	125967	123120	120819	137758	110017	121014	116214	132831	123674	127548	136708	134140	136218	133304	136293	124146
Q00578	RAD25_YEAST	SSL2	General transcription and DNA repair factor IIH helicase/translocase subunit XPB/SSL2	5	5	70167.4	51448.3	67874.8	69869.3	41712.8	60785.8	56085.1	61675.6	59993.6	27157.8	27804.8	30489.8	36587.6	36345.5	29576.6	34982.6	32845.6	33478
Q00587	BORG5_HUMAN	CDC42EP1	Cdc42 effector protein 1	6	6	57541	57324.5	54836.4	54943	55181.8	52602.2	58727.3	61509.5	56634.9	56096.5	57916.4	51932.6	61606.3	57214.5	56970.9	56426.5	56552	51932.4
Q00610	CLH1_HUMAN	CLTC	Clathrin heavy chain 1	66	54	7.47932e+06	7.51157e+06	7.62747e+06	7.86764e+06	7.60299e+06	7.76879e+06	7.64116e+06	7.89174e+06	7.56858e+06	7.79163e+06	7.45051e+06	7.63186e+06	7.38486e+06	7.53845e+06	7.36099e+06	7.56102e+06	7.38948e+06	7.49343e+06
Q00613	HSF1_HUMAN	HSF1	Heat shock factor protein 1	8	7	165123	157122	151511	159292	151681	147933	158354	169927	142458	178710	171125	165163	166444	155196	162016	167889	169659	157791
Q00618	PGTA_YEAST	BET4	Geranylgeranyl transferase type-2 subunit alpha	4	4	45374.9	46866.1	45531.4	47133.3	42620.8	54023.5	47564.2	44431.4	45656.5	22868.6	21894.8		28387.7	23649.1				25361.7
Q00653	NFKB2_HUMAN	NFKB2	Nuclear factor NF-kappa-B p100 subunit	9	9	189756	177858	182430	178113	182981	198073	202637	192804	182456	171056	177265	195756	155494	167504	195319	161326	187229	169380
Q00684	CDC14_YEAST	CDC14	Tyrosine-protein phosphatase CDC14	8	8	109837	85984.3	91633.8	68740.8	74664.2	78011.6	87852.7	84659.6	72477.2	63569.7	64534.7	64627	78809.3	76105.4	64696.6	76804.5	65896.3	70207.2
Q00688	FKBP3_HUMAN	FKBP3	Peptidyl-prolyl cis-trans isomerase FKBP3	6	6	1.29334e+06	1.2538e+06	1.29577e+06	1.28586e+06	1.22543e+06	1.27585e+06	1.22334e+06	1.32325e+06	1.32283e+06	1.24286e+06	1.23364e+06	1.24048e+06	1.17259e+06	1.19848e+06	1.19588e+06	1.19096e+06	1.24496e+06	1.25173e+06
Q00711	SDHA_YEAST	SDH1	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	5	5	87965.5	76430.5	77248.7	84744.2	61537.4	63170.3	85865.7	77208.6	78712.1				57621.1		42957		53643.4	
Q00722	PLCB2_HUMAN	PLCB2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2	1	1			98812.3		112318		102963		97826.2	104748	96478			79049.6				
Q00764	TPS1_YEAST	TPS1	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit	11	11	2.01601e+06	1.95686e+06	2.01121e+06	1.92891e+06	1.84109e+06	1.84271e+06	1.94772e+06	1.84407e+06	1.82858e+06	1.02853e+06	980746	994513	1.01324e+06	980360	981493	1.01065e+06	966348	970845
Q00772	SLT2_YEAST	SLT2	Mitogen-activated protein kinase SLT2/MPK1	4	4	108101	86296.1	114214	108415	96951.1	112097	85947.7	96396.6	112294		48011.5	34361.7	52186.6	58074.2	58896	51782.7	36453.2	51627.5
Q00796	DHSO_HUMAN	SORD	Sorbitol dehydrogenase	6	6	364017	401197	353449	383363	381019	354202	369804	378445	355546	347567	358159	380062	359180	379879	370131	366148	402619	374592
Q00816	REG1_YEAST	REG1	Resistance to glucose repression protein 1	17	17	292243	291567	294533	265358	262944	273737	260507	282705	260818	133442	135209	126402	128369	135989	131378	132099	126001	125889
Q00839	HNRPU_HUMAN	HNRNPU	Heterogeneous nuclear ribonucleoprotein U	20	20	7.30252e+06	7.39645e+06	6.87275e+06	7.29276e+06	6.91674e+06	7.14526e+06	7.04014e+06	6.79203e+06	6.62756e+06	8.5628e+06	8.07001e+06	7.61164e+06	8.5953e+06	7.99201e+06	7.53911e+06	9.12605e+06	8.31242e+06	8.13136e+06
Q00873	CYT2_YEAST	CYT2	Holocytochrome-c1 synthase	2	2	52484.2	53963.1	56584.1	62801.2	60292.2	61097.2	58547.5	69011.9	51914.9	30028.3	16919.8	25927.4	28049.5	20022.7	28323.1	13804.1	20647.7	26848.6
Q00916	RU17_YEAST	SNP1	U1 small nuclear ribonucleoprotein 70 kDa homolog	2	2	70958.8	58001.8	33838	68744.7	49706.3	61538.9	49996.6	41987.5	41048	23653								
Q00955	ACAC_YEAST	ACC1	Acetyl-CoA carboxylase	72	69	1.25135e+06	1.28088e+06	1.29337e+06	1.19733e+06	1.18875e+06	1.23056e+06	1.20826e+06	1.29119e+06	1.19643e+06	635694	614803	626744	622383	633234	619624	635658	621328	638024
Q00987	MDM2_HUMAN	MDM2	E3 ubiquitin-protein ligase Mdm2	1	1	12764.8	11401.8	12292.9	11699.7	11562.5	12638.4	14109.9	13623.3	11605.7	13129.6	13738.6	11579.5	16015.4		12649.9	12751.9	13877.8	10238.2
Q01080	RPA49_YEAST	RPA49	DNA-directed RNA polymerase I subunit RPA49	4	4	233916	257296	243373	251218	230800	248157	234126	237782	225570	118409	125475	102050	132293	125153	119757	121527	112030	118323
Q01081	U2AF1_HUMAN	U2AF1	Splicing factor U2AF 35 kDa subunit	5	5	1.79191e+06	1.65474e+06	1.61237e+06	1.82561e+06	1.65864e+06	1.72129e+06	1.71584e+06	1.70245e+06	1.68398e+06	1.70517e+06	1.63068e+06	1.54662e+06	1.68043e+06	1.65484e+06	1.55539e+06	1.50088e+06	1.5816e+06	1.64923e+06
Q01082	SPTB2_HUMAN	SPTBN1	Spectrin beta chain, non-erythrocytic 1	75	69	300761	294417	278258	294822	282768	283830	284521	293858	278254	301419	301423	296106	305599	299451	293720	310672	297447	300903
Q01085	TIAR_HUMAN	TIAL1	Nucleolysin TIAR	6	6	585117	559986	552511	620840	569551	576980	561882	565563	596147	564588	550460	567742	574894	545256	567498	550900	536189	573889
Q01105	SET_HUMAN	SET	Protein SET	9	4	6.92673e+06	7.21171e+06	6.53704e+06	7.23917e+06	6.18608e+06	6.44267e+06	6.86325e+06	6.65466e+06	6.15814e+06	7.60513e+06	6.95156e+06	7.07752e+06	7.77749e+06	7.40257e+06	6.88525e+06	7.60769e+06	7.68226e+06	6.68551e+06
Q01130	SRSF2_HUMAN	SRSF2	Serine/arginine-rich splicing factor 2	4	2	2.12893e+06	1.86744e+06	1.70121e+06	2.10005e+06	2.35257e+06	2.58243e+06	2.23265e+06	2.3731e+06	2.38174e+06	2.20429e+06	2.01974e+06	2.16788e+06	2.02115e+06	1.88911e+06	2.3093e+06	2.24158e+06	1.93247e+06	2.12535e+06
Q01159	MCE1_YEAST	CEG1	mRNA-capping enzyme subunit alpha	7	7	161231	163221	160337	149479	140756	142395	153950	152146	138269	73561.9	74683.1	69897.1	74500.9	68068.6	65205	76340.8	75885.5	68317.3
Q01167	FOXK2_HUMAN	FOXK2	Forkhead box protein K2	6	6	68665.3	67689.7	68298.3	64900.3	56632	69297.7	71874.8	67391	67493.7	69199.5	65983.9	68539.4	66622.2	65930.8	64312.4	69698.4	71903.8	67047.8
Q01196	RUNX1_HUMAN	RUNX1	Runt-related transcription factor 1	6	6	183400	172780	163140	200873	157603	185203	171788	171363	165474	164125	165823	160739	172839	163429	158338	189148	162895	166418
Q01329	PTA1_YEAST	PTA1	Pre-tRNA-processing protein PTA1	9	9	69226.9	64683.1	59859.3	48489.3	67718.7	64580.4	59980.8	60301.8	67026.3	36696.5	33309.7	28175.4	31865.6	33498.2	34179.7	31720	33642.1	34869.7
Q01389	BCK1_YEAST	BCK1	Serine/threonine-protein kinase BCK1/SLK1/SSP31	5	5	47101.1	46012.9	55406.1	59206.5	53162	36004.9	43613.4	46810.1	41249.3	22449.9	21697	25169.9		23978.2			25815.8	
Q01415	GALK2_HUMAN	GALK2	N-acetylgalactosamine kinase	3	3	89189.8	85207.2	73946.3	86623.1	89507.3	80308.9	90176.4	78737.8	84660.2	88778.3	86748.1	102475	93105.9	93960.4	95442.3	94114.3	93070.6	90030.9
Q01432	AMPD3_HUMAN	AMPD3	AMP deaminase 3	7	7	90552.5	82322.1	84231.6	84411.2	89874.3	92629.6	84368.3	87874.5	79166.4	82962.6	88087.1	80665.1	80162.4	78778.8	81815.9	82385.9	81315	79134
Q01433	AMPD2_HUMAN	AMPD2	AMP deaminase 2	12	12	111961	112976	110058	104913	102717	111660	110203	112804	100647	115628	111897	115053	114958	117322	118196	127819	117403	113548
Q01448	HPC2_YEAST	HPC2	Histone promoter control protein 2	2	2	27268	41022.4	30889.7	31638	39248.5	35543.1	36144.6	35499.8	31469.8									
Q01454	CTF4_YEAST	CTF4	DNA polymerase alpha-binding protein	8	8	88867.6	96369.5	95107.5	79185.2	85371.7	83465.5	77086.6	85116.5	78936.4	41868.2	42155.2	44674.6	41202.1	46919.4	44403.2	50977.3	46648.4	39006.7
Q01459	DIAC_HUMAN	CTBS	Di-N-acetylchitobiase	2	2	11295	12781.5	12792	12987.1	14284.2	12168.6	10340.1	13421.3	13404.6	13391.7	9919.59	9732.34	11045.4	10828.4	9625.66	11940.2	7314.7	14656
Q01469	FABP5_HUMAN	FABP5	Fatty acid-binding protein 5	2	2	287500	344701	409540	218071	355374	399498	316966	397775	429548	269128	346903	400108	227695	352615	435892	329070	361682	429409
Q01476	UBP2_YEAST	UBP2	Ubiquitin carboxyl-terminal hydrolase 2	20	20	104788	113112	109858	109886	108219	105463	107206	109154	107932	47806.5	51365.4	54198.6	52080.8	52789.3	52671.6	53179	58255.2	53978.4
Q01477	UBP3_YEAST	UBP3	Ubiquitin carboxyl-terminal hydrolase 3	9	9	135163	130362	121308	122715	113227	101645	101307	109173	103613	62412.2	62353	56535.7	61933.3	60547.4	53462.5	59843.7	60060.7	66416.5
Q01518	CAP1_HUMAN	CAP1	Adenylyl cyclase-associated protein 1	19	18	1.70445e+06	1.7888e+06	1.89623e+06	1.71356e+06	1.75886e+06	1.94199e+06	1.7341e+06	1.99198e+06	1.93808e+06	1.90116e+06	1.85114e+06	1.9831e+06	1.88904e+06	1.9806e+06	1.85834e+06	1.90196e+06	2.0654e+06	1.93255e+06
Q01532	BLH1_YEAST	LAP3	Cysteine proteinase 1, mitochondrial	8	8	261181	274250	272625	245480	225169	237559	239973	241683	233902	142303	135822	139397	150701	144801	127794	155597	137020	134112
Q01560	NOP3_YEAST	NPL3	Serine/arginine (SR)-type shuttling mRNA binding protein NPL3	3	3	173686	166308	106110	141291	114177	115119	136594	124964	119889	103957	95984.9	81181	114505	85536.6	65320	98695.2	103291	73997.4
Q01574	ACS1_YEAST	ACS1	Acetyl-coenzyme A synthetase 1	15	15	154185	173886	170274	165356	157964	171499	168761	159082	161429	87257.1	87513.1	85200.3	89447.9	94868	94122.4	88766.7	89619.7	95319.8
Q01581	HMCS1_HUMAN	HMGCS1	Hydroxymethylglutaryl-CoA synthase, cytoplasmic	18	17	1.03183e+06	982341	1.00527e+06	1.05271e+06	988260	1.00782e+06	997406	1.01556e+06	952041	1.00629e+06	965421	979135	1.02485e+06	990671	1.00807e+06	1.02918e+06	963404	968932
Q01590	SED5_YEAST	SED5	Integral membrane protein SED5	4	4	37662.9	42904	36222.9	62767.1	48742.6	28792.7	36336.3	39752.1	30713.6	23915.7	32027.9	27973.3	20172.3	24511.3	17986.5	20768.5	23002.5	20493.9
Q01628	IFM3_HUMAN	IFITM3	Interferon-induced transmembrane protein 3	2	1	170776	164445	165686	161194	151736	162671	159889	166576	160195	168870	162286	170475	169029	165134	163768	149763	160266	176757
Q01650	LAT1_HUMAN	SLC7A5	Large neutral amino acids transporter small subunit 1	3	3	623389	593217	614860	619157	598044	601809	517571	618775	615692	639377	538783	560023	646120	528130	612754	657575	590969	621046
Q01658	NC2B_HUMAN	DR1	Protein Dr1	1	1	217216	212445	261934	206630	235038	225945	205108	252776	217838	199397	194188	210849	172231	222521	210132	168116	196604	213289
Q01662	MAP1_YEAST	MAP1	Methionine aminopeptidase 1	11	11	696392	754585	755794	679543	655025	699507	655127	741679	692928	315164	343199	357695	331082	314818	336210	373013	344175	329369
Q01664	TFAP4_HUMAN	TFAP4	Transcription factor AP-4	5	5	135448	120761	115233	107008	126452	122454	128037	127967	115734	128936	130376	120682	127586	119099	113798	129952	120657	111518
Q01722	GCR2_YEAST	GCR2	Glycolytic genes transcriptional activator GCR2	2	2	46230.1	41002.9	21806.9	41893			39120.4		12362.9									
Q01780	EXOSX_HUMAN	EXOSC10	Exosome complex component 10	23	23	229062	242081	237510	240224	237077	239946	230230	250712	226062	229181	233352	233855	235325	240871	233749	224641	233209	221730
