Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02.mzML	/home/lerost/DIA_tools_manuscript/input_files/LFQbench_orbitrap/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03.mzML
Q07622	ACK1_YEAST	ACK1	Activator of C kinase protein 1	1	1		89250			85438.6	140643			95980									
Q07623	NOP6_YEAST	NOP6	Nucleolar protein 6	5	5	6.3805e+06	6.35213e+06	3.49787e+06	2.99263e+06	5.64579e+06	4.09504e+06	4.10766e+06	4.77122e+06	2.88992e+06	1.7449e+06	1.75672e+06			1.89079e+06		1.72062e+06	1.7961e+06	1.55243e+06
Q07648	DTD_YEAST	DTD1	D-aminoacyl-tRNA deacylase	3	3	1.15801e+07	1.30566e+07	1.10059e+07	1.26595e+07	1.03241e+07	1.03301e+07	1.1776e+07	1.09666e+07	1.13423e+07	4.38467e+06	4.46066e+06	3.51724e+06	2.78026e+06	3.94828e+06	4.31742e+06	4.23547e+06	3.58326e+06	4.54849e+06
Q07651	FMP45_YEAST	FMP45	SUR7 family protein FMP45	1	1	1.09208e+07	1.0049e+07	1.18317e+07	1.05138e+07	1.00514e+07	1.04681e+07	1.0866e+07	9.10845e+06	1.07561e+07	4.48993e+06	5.18714e+06	4.58988e+06	3.31639e+06	4.1274e+06	4.25e+06	5.53734e+06	4.94398e+06	4.86549e+06
Q07653	HBT1_YEAST	HBT1	Protein HBT1	34	34	6.62525e+07	6.50555e+07	8.6351e+07	4.726e+07	6.44506e+07	7.42775e+07	6.26888e+07	6.49936e+07	6.67958e+07	2.832e+07	3.0228e+07	3.65477e+07	1.56884e+07	3.1561e+07	3.57194e+07	3.12869e+07	3.1989e+07	3.30151e+07
Q07655	WHI4_YEAST	WHI4	Protein WHI4	7	7	9.2079e+06	7.91807e+06	9.15859e+06	5.49591e+06	7.47742e+06	7.67255e+06	7.33438e+06	8.28571e+06	8.16505e+06	3.40429e+06	4.38935e+06	2.53712e+06	3.31796e+06	3.7686e+06	3.78334e+06	3.94555e+06	3.30281e+06	4.58227e+06
Q07657	SHS1_YEAST	SHS1	Seventh homolog of septin 1	12	12	4.82395e+06	5.00009e+06	5.50496e+06	4.03768e+06	4.40201e+06	5.11084e+06	4.54384e+06	4.17884e+06	4.8384e+06	2.0169e+06	2.27756e+06	2.43703e+06	1.07591e+06	2.12514e+06	1.60128e+06	2.12799e+06	2.09662e+06	1.95631e+06
Q07666	KHDR1_HUMAN	KHDRBS1	KH domain-containing, RNA-binding, signal transduction-associated protein 1	9	8	1.9568e+08	2.03133e+08	1.97246e+08	1.66878e+08	2.00241e+08	1.95386e+08	2.12391e+08	2.09494e+08	1.99947e+08	1.92063e+08	1.72259e+08	1.70874e+08	1.68865e+08	1.6815e+08	1.55382e+08	1.91568e+08	1.89871e+08	1.76698e+08
Q07688	YPD1_YEAST	YPD1	Phosphorelay intermediate protein YPD1	3	3	2.43531e+07	2.4566e+07	2.71053e+07	1.59961e+07	2.27852e+07	2.35139e+07	2.19599e+07	2.21208e+07	2.27704e+07	1.17981e+07	9.96935e+06	9.718e+06	1.03675e+07	1.12207e+07	1.12239e+07	9.21142e+06	1.13102e+07	8.55408e+06
Q07716	AIM6_YEAST	AIM6	Altered inheritance of mitochondria protein 6	5	5	2.32372e+06	1.91842e+06	1.31944e+06	1.37852e+06	1.48206e+06	1.0622e+06	1.63049e+06	1.64699e+06	1.75927e+06		347214						475783	
Q07800	PSR1_YEAST	PSR1	Phosphatase PSR1	3	3	1.01142e+06	966845	844354	803207	763778	923408	904148	924699	882918	390742	353115	233019		414376	165012	384024	146521	335683
Q07807	PUF3_YEAST	PUF3	mRNA-binding protein PUF3	11	11	7.05583e+06	6.69923e+06	6.54668e+06	6.1813e+06	6.16489e+06	6.33886e+06	6.30016e+06	6.53552e+06	6.34953e+06	3.0154e+06	2.9652e+06	2.94987e+06	2.73324e+06	3.07835e+06	2.97731e+06	3.08293e+06	2.9714e+06	2.91482e+06
Q07812	BAX_HUMAN	BAX	Apoptosis regulator BAX	4	4	8.16254e+06	1.09768e+07	1.01254e+07	6.87095e+06	1.03211e+07	8.47829e+06	1.00453e+07	1.06528e+07	1.00108e+07	6.77981e+06	7.73882e+06	7.00265e+06	7.32871e+06	8.12163e+06	5.89259e+06	8.70024e+06	8.53596e+06	8.14017e+06
Q07817	B2CL1_HUMAN	BCL2L1	Bcl-2-like protein 1	3	3	1.65955e+07	1.53282e+07	9.60789e+06	1.34432e+07	1.61982e+07	1.24806e+07	1.33902e+07	1.91208e+07	1.4665e+07	1.59416e+07	1.74969e+07	1.0327e+07	1.79139e+07	1.79455e+07	1.31761e+07	1.61863e+07	1.62761e+07	1.41404e+07
Q07820	MCL1_HUMAN	MCL1	Induced myeloid leukemia cell differentiation protein Mcl-1	2	2	1.25839e+06				1.19427e+06		1.46715e+06		1.19381e+06						512613			509581
Q07824	TPO1_YEAST	TPO1	Polyamine transporter 1	3	3	1.02368e+06	891504	1.55982e+06	529264	885027	1.30381e+06	788272	987054	1.1545e+06	276887	322032					341602	314902	268061
Q07825	FRA1_YEAST	FRA1	Putative Xaa-Pro aminopeptidase FRA1	7	7	5.58137e+06	5.56967e+06	7.17621e+06	5.30146e+06	5.23413e+06	5.92518e+06	5.42718e+06	5.50705e+06	4.97358e+06	2.97125e+06	2.84203e+06	2.82804e+06	1.77852e+06	2.79424e+06	3.03957e+06	2.84986e+06	2.87312e+06	3.00498e+06
Q07834	YL032_YEAST	YLL032C	KH domain-containing protein YLL032C	1	1	217962	204405	365345	128033	197699		227542	151825	249472									
Q07844	RIX7_YEAST	RIX7	Ribosome biogenesis ATPase RIX7	5	5	8.18231e+06	8.38953e+06	8.13822e+06	3.21122e+06	9.91322e+06	7.92856e+06	6.11157e+06	8.54093e+06	8.18363e+06	2.05242e+06	4.51523e+06	2.21608e+06	4.184e+06		4.77249e+06	4.24402e+06		4.108e+06
Q07864	DPOE1_HUMAN	POLE	DNA polymerase epsilon catalytic subunit A	27	26	7.4296e+06	8.23145e+06	7.37621e+06	6.99923e+06	7.5987e+06	7.7603e+06	7.42762e+06	6.61914e+06	7.47321e+06	7.58666e+06	7.70868e+06	7.20188e+06	6.61132e+06	7.97745e+06	7.48514e+06	7.86763e+06	7.51302e+06	8.24932e+06
Q07866	KLC1_HUMAN	KLC1	Kinesin light chain 1	21	16	2.11541e+07	2.22305e+07	2.10603e+07	2.4395e+07	2.08926e+07	2.19333e+07	2.24392e+07	2.13815e+07	2.13144e+07	2.26859e+07	2.16983e+07	2.15914e+07	2.24505e+07	2.33359e+07	2.10285e+07	2.26636e+07	2.25045e+07	2.20159e+07
Q07872	ENT4_YEAST	ENT4	Epsin-4	1	1	462294	587924	535546		620028			270509	433720									
Q07878	VPS13_YEAST	VPS13	Intermembrane lipid transfer protein VPS13	34	34	4.61732e+06	4.42913e+06	5.19653e+06	4.17708e+06	4.28689e+06	4.32992e+06	4.52206e+06	3.80702e+06	4.39384e+06	1.72443e+06	1.96615e+06	2.00213e+06	1.92798e+06	1.77885e+06	2.14421e+06	2.08529e+06	1.97093e+06	2.11451e+06
Q07889	SOS1_HUMAN	SOS1	Son of sevenless homolog 1	5	5	750913	989451	614886	710323	651711	1.00817e+06	698701	771500	874185	899024	1.08871e+06	960459		505047	794601	630934	673965	539291
Q07896	NOC3_YEAST	NOC3	Nucleolar complex-associated protein 3	3	3	2.43902e+06	1.9818e+06	1.92322e+06	2.36991e+06	1.9502e+06	1.58542e+06	2.08051e+06	1.94408e+06	1.62256e+06	1.15491e+06	825886			901288		420347		
Q07897	CMS1_YEAST	CMS1	Protein CMS1	5	5	1.23351e+06	1.06714e+06	1.32353e+06	962317	1.24158e+06	1.2065e+06	1.20301e+06	1.19179e+06	1.16997e+06	468672	682728	427002		523793		456384		437083
Q07914	TIM14_YEAST	PAM18	Mitochondrial import inner membrane translocase subunit TIM14	2	2	4.21124e+06	3.83879e+06	3.94555e+06	3.73847e+06	3.78582e+06	3.68598e+06	3.62146e+06	3.7473e+06	3.28483e+06	1.57684e+06	1.63632e+06	1.66147e+06	1.58189e+06	1.62448e+06	1.66007e+06	1.47563e+06	1.05435e+06	1.19429e+06
Q07915	RLP24_YEAST	RLP24	Ribosome biogenesis protein RLP24	2	2	4.90551e+06	5.86786e+06	4.71238e+06	5.89513e+06	5.63475e+06	5.58127e+06	5.70667e+06	5.3359e+06	4.7118e+06	3.41147e+06	2.96032e+06	2.80814e+06	3.83058e+06	2.8375e+06	2.94932e+06	2.42698e+06	3.12286e+06	2.82528e+06
Q07953	SDO1_YEAST	SDO1	Ribosome maturation protein SDO1	2	2	3.3059e+06	3.80986e+06	3.61478e+06	3.74669e+06	3.55632e+06	3.72818e+06	3.89357e+06	3.06142e+06	4.03759e+06	1.4065e+06	1.67645e+06	2.19202e+06	1.68779e+06	1.39041e+06	1.70957e+06	1.18893e+06	1.69719e+06	1.84705e+06
Q07955	SRSF1_HUMAN	SRSF1	Serine/arginine-rich splicing factor 1	13	12	3.64863e+08	3.4589e+08	3.91332e+08	3.66524e+08	3.66844e+08	3.82184e+08	3.87404e+08	3.85762e+08	3.86498e+08	3.89534e+08	3.43493e+08	3.89264e+08	3.05687e+08	3.78278e+08	3.76041e+08	3.74243e+08	4.03038e+08	3.73655e+08
Q07960	RHG01_HUMAN	ARHGAP1	Rho GTPase-activating protein 1	9	9	1.18403e+07	1.12982e+07	1.26543e+07	1.3002e+07	1.31137e+07	1.14362e+07	1.1906e+07	1.07818e+07	1.11116e+07	1.35083e+07	1.00445e+07	1.29027e+07	1.01338e+07	1.21279e+07	1.22787e+07	1.19466e+07	1.2706e+07	1.20234e+07
Q07979	RSC58_YEAST	RSC58	Chromatin structure-remodeling complex protein RSC58	10	10	5.13028e+06	4.77466e+06	5.93618e+06	4.48189e+06	5.03801e+06	5.16278e+06	4.26581e+06	4.95371e+06	4.46057e+06	1.8627e+06	2.37249e+06	2.66377e+06		2.37112e+06	2.2718e+06	2.35016e+06	2.23374e+06	2.31278e+06
Q08001	LAM6_YEAST	LAM6	Membrane-anchored lipid-binding protein LAM6	3	3	3.21575e+06	4.14756e+06	4.67269e+06	2.45567e+06	3.25573e+06	4.01515e+06	3.92204e+06	2.66624e+06	3.44788e+06			1.87973e+06			1.77418e+06	1.7427e+06	1.44347e+06	
Q08004	BUD20_YEAST	BUD20	Bud site selection protein 20	2	2	659512	719483	539250		784501	548684	551825	618792	519043	321035		492803			495414	385578		
Q08023	FMP25_YEAST	FMP25	Protein FMP25, mitochondrial	2	2	75551.2				58938													
Q08096	RCL1_YEAST	RCL1	rRNA processing protein RCL1	3	3	1.04797e+06	1.08558e+06		938681	792685	778271	828454	850814	539204		454598				383854	426280		340118
Q08109	HRD1_YEAST	HRD1	ERAD-associated E3 ubiquitin-protein ligase HRD1	1	1		363152																
Q08117	TLE5_HUMAN	TLE5	TLE family member 5	3	3	2.52036e+06	3.15332e+06		2.03568e+06	3.55549e+06	1.85962e+06	2.77377e+06	2.92343e+06	1.90785e+06	3.64887e+06	3.38607e+06	2.89437e+06	2.25473e+06	3.70916e+06		2.24699e+06	2.62294e+06	2.73398e+06
Q08144	TLG2_YEAST	TLG2	t-SNARE affecting a late Golgi compartment protein 2	3	3	791811	846081	864811		551565	913213	884155	830119	597109									
Q08162	RRP44_YEAST	DIS3	Exosome complex exonuclease DIS3	13	13	1.21592e+07	1.53515e+07	1.487e+07	1.31479e+07	1.24816e+07	1.35683e+07	1.23177e+07	1.40406e+07	1.55436e+07	7.04438e+06	6.83035e+06	5.26328e+06	7.46886e+06	7.10091e+06	6.37458e+06	6.23334e+06	6.95612e+06	6.38695e+06
Q08170	SRSF4_HUMAN	SRSF4	Serine/arginine-rich splicing factor 4	5	5	6.40068e+07	6.51857e+07	8.13659e+07	5.30284e+07	6.62581e+07	7.12688e+07	7.52431e+07	6.73236e+07	7.04209e+07	5.96247e+07	5.34656e+07	6.61211e+07	5.14114e+07	5.72438e+07	6.36836e+07	6.28142e+07	6.68762e+07	6.24598e+07
Q08179	MDM38_YEAST	MDM38	Mitochondrial distribution and morphology protein 38	11	11	8.01235e+07	8.4354e+07	1.16473e+08	5.13133e+07	7.34584e+07	1.06804e+08	7.86627e+07	8.07817e+07	8.61311e+07	3.76669e+07	3.41135e+07	5.00928e+07	3.4749e+07	3.90705e+07	4.67048e+07	3.7913e+07	3.98515e+07	4.20627e+07
Q08193	GAS5_YEAST	GAS5	1,3-beta-glucanosyltransferase GAS5	4	4	5.70407e+07	5.96502e+07	7.0737e+07	6.46679e+07	5.62787e+07	5.87102e+07	5.97746e+07	5.57516e+07	5.80247e+07	2.85854e+07	2.89085e+07	3.1701e+07	2.79596e+07	2.77267e+07	3.13265e+07	3.10508e+07	2.9401e+07	2.96286e+07
Q08199	SIL1_YEAST	SIL1	Nucleotide exchange factor SIL1	5	5	991562	1.29167e+06	1.82346e+06		1.26813e+06	1.34788e+06	1.03524e+06	989728	1.29977e+06	483590	448687							
Q08202	OPI10_YEAST	OPI10	Protein OPI10	2	2	2.14783e+06	2.37103e+06	2.92784e+06		3.05028e+06		2.50062e+06	3.37896e+06	2.27373e+06									
Q08208	NOP12_YEAST	NOP12	Nucleolar protein 12	9	9	8.28497e+06	9.17811e+06	6.80223e+06	5.96659e+06	7.96214e+06	7.78836e+06	7.65795e+06	8.45769e+06	8.61418e+06	3.45367e+06	3.59961e+06	3.42713e+06	3.14211e+06	3.55245e+06	3.23796e+06	3.66748e+06	3.27225e+06	3.11279e+06
Q08211	DHX9_HUMAN	DHX9	ATP-dependent RNA helicase A	40	40	2.64864e+08	2.63446e+08	2.64398e+08	2.60069e+08	2.69979e+08	2.61733e+08	2.89273e+08	2.81657e+08	2.74708e+08	2.60856e+08	2.47614e+08	2.47158e+08	2.41882e+08	2.47449e+08	2.35701e+08	2.6869e+08	2.58331e+08	2.47218e+08
Q08217	PSK2_YEAST	PSK2	Serine/threonine-protein kinase PSK2	2	2		203065			101582	174569								180836	182053			
Q08220	GSHB_YEAST	GSH2	Glutathione synthetase GSH2	13	13	6.32859e+07	5.74398e+07	5.55468e+07	5.16877e+07	5.33339e+07	5.34102e+07	5.45289e+07	5.49585e+07	5.67264e+07	2.82043e+07	2.48258e+07	2.37916e+07	2.25825e+07	2.70669e+07	2.6123e+07	2.62393e+07	2.53153e+07	2.59482e+07
Q08224	THI20_YEAST	THI20	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase THI20	1	1	342179	365457	189264		300019			388178	293310									
Q08225	DPP3_YEAST	YOL057W	Probable dipeptidyl peptidase 3	12	12	7.97325e+06	8.86956e+06	7.68895e+06	7.38839e+06	7.57976e+06	7.49051e+06	7.80728e+06	7.18656e+06	7.07715e+06	3.16879e+06	3.95421e+06	3.81287e+06	2.48106e+06	4.19595e+06	3.58189e+06	4.21977e+06	3.45661e+06	3.63355e+06
Q08229	NBA1_YEAST	NBA1	Protein NBA1	4	4	2.0986e+06	2.05326e+06	2.79565e+06	1.65447e+06	1.93441e+06	2.64141e+06	2.10378e+06	2.08894e+06	2.51341e+06	1.00254e+06	1.00916e+06	1.05146e+06		907225	1.44055e+06	794828	1.10258e+06	907689
Q08230	SDHF2_YEAST	SDH5	Succinate dehydrogenase assembly factor 2, mitochondrial	1	1	1.21094e+06	1.60726e+06	840978		1.49778e+06	834951	1.27418e+06	1.52349e+06	1.23382e+06									
Q08232	DSC2_YEAST	DSC2	DSC E3 ubiquitin ligase complex subunit 2	1	1	378060	433762	543367	435956	352774	520293	370298	326306	365048						266098			
Q08235	BRX1_YEAST	BRX1	Ribosome biogenesis protein BRX1	6	6	1.94314e+07	2.02859e+07	2.00927e+07	1.82878e+07	1.71239e+07	2.01638e+07	1.95606e+07	1.88089e+07	1.91347e+07	9.22136e+06	1.02352e+07	9.67202e+06	8.15374e+06	8.27853e+06	9.43666e+06	1.05542e+07	8.76217e+06	1.00579e+07
Q08245	ZEO1_YEAST	ZEO1	Protein ZEO1	5	5	4.51436e+08	4.61226e+08	3.92338e+08	4.08461e+08	4.50657e+08	3.61359e+08	4.36893e+08	4.54773e+08	3.9252e+08	2.35457e+08	2.25449e+08	2.2108e+08	1.98825e+08	2.39847e+08	2.28075e+08	2.30296e+08	2.25244e+08	2.10961e+08
Q08257	QOR_HUMAN	CRYZ	Zeta-crystallin	13	13	4.67782e+07	4.2469e+07	4.73429e+07	4.50771e+07	4.3954e+07	4.24255e+07	4.283e+07	4.45425e+07	4.32037e+07	4.71487e+07	4.32634e+07	4.41001e+07	4.70069e+07	4.73094e+07	4.48292e+07	4.35887e+07	4.56921e+07	4.40131e+07
Q08273	RBX1_YEAST	HRT1	RING-box protein HRT1	1	1	315877	502574	271739		369164	370121	356142	474783	397179							123057		94217
Q08285	RRP40_YEAST	RRP40	Exosome complex component RRP40	2	2		574963	480893	275189	582585	465780	558884	461079	473230									
Q08287	NOP8_YEAST	NOP8	60S ribosome subunit biogenesis protein NOP8	2	2	846668		989652		435421	799098	617356		772413									
Q08299	ENB1_YEAST	ENB1	Siderophore iron transporter ENB1	4	4	3.00892e+06	2.09688e+06	2.94324e+06	2.33007e+06	2.84884e+06	3.14122e+06	2.40225e+06	2.10767e+06	3.17503e+06		887739	564517		736724		729987		1.08737e+06
Q08300	CSS3_YEAST	CSS3	Secreted protein CSS3	1	1	4.88053e+06		8.23813e+06		2.34323e+06	6.53229e+06		3.86871e+06	5.68598e+06		3.15412e+06	2.06153e+06			2.28059e+06			
Q08357	S20A2_HUMAN	SLC20A2	Sodium-dependent phosphate transporter 2	1	1			403517		261910	302533									252906	306356		
Q08378	GOGA3_HUMAN	GOLGA3	Golgin subfamily A member 3	37	37	1.15e+07	1.05015e+07	1.13439e+07	8.9791e+06	9.52919e+06	1.12709e+07	1.00255e+07	1.01154e+07	1.05861e+07	1.10463e+07	1.06478e+07	1.15038e+07	8.16242e+06	1.09262e+07	1.06477e+07	1.02504e+07	1.00991e+07	1.16509e+07
Q08379	GOGA2_HUMAN	GOLGA2	Golgin subfamily A member 2	23	23	1.43354e+07	1.5141e+07	1.65036e+07	1.67748e+07	1.52943e+07	1.49428e+07	1.74355e+07	1.49302e+07	1.47077e+07	1.56816e+07	1.67057e+07	1.70667e+07	1.43643e+07	1.73076e+07	1.51001e+07	1.67644e+07	1.44545e+07	1.53928e+07
Q08412	CUE5_YEAST	CUE5	Ubiquitin-binding protein CUE5	13	13	2.29727e+07	2.44831e+07	2.64286e+07	1.82405e+07	2.27975e+07	2.43415e+07	2.17586e+07	2.20708e+07	2.29324e+07	1.0775e+07	1.14667e+07	1.32695e+07	8.92487e+06	1.10085e+07	1.02116e+07	1.11592e+07	1.12728e+07	1.16336e+07
Q08417	RSB1_YEAST	RSB1	Sphingoid long-chain base transporter RSB1	2	2	942813	1.15176e+06	1.13881e+06	678225	1.00322e+06	1.06097e+06	806502	715398	682056	416351	378694	421223		422408	401459	356709	476610	
Q08421	ETT1_YEAST	ETT1	Enhancer of translation termination 1	8	8	8.98195e+07	8.47938e+07	8.0095e+07	8.88004e+07	7.82832e+07	8.12952e+07	7.70484e+07	8.05507e+07	7.65757e+07	3.56263e+07	3.75285e+07	3.05161e+07	2.85861e+07	3.76824e+07	3.58033e+07	3.12731e+07	3.44415e+07	3.63511e+07
Q08426	ECHP_HUMAN	EHHADH	Peroxisomal bifunctional enzyme	1	1	577651	526142	527547	550072	590222	432384	360734	506225	485573	303828	636222		596695		393078		391907	460481
Q08431	MFGM_HUMAN	MFGE8	Lactadherin	1	1		1.01943e+06			1.41311e+06				1.03626e+06	1.01406e+06	834685	477861		1.05033e+06	765070		332780	1.00368e+06
Q08438	VHS3_YEAST	VHS3	Phosphopantothenoylcysteine decarboxylase subunit VHS3	1	1	900386	836870	1.12404e+06	675329	785955	1.02563e+06	851776	778449	987405	268531	256075	400364		338087	350228	391727	273665	389736
Q08444	NOB1_YEAST	NOB1	20S-pre-rRNA D-site endonuclease NOB1	3	3	429506	361591	361237	219910	384349	472957	414724	280093	393422	136240	160090	200000		167823	211560	186762	147916	150619
Q08446	SGT1_YEAST	SGT1	Protein SGT1	11	11	2.76514e+07	2.76175e+07	3.00408e+07	2.69433e+07	2.56e+07	2.77845e+07	3.19467e+07	2.88699e+07	2.35298e+07	1.19476e+07	1.41695e+07	1.46013e+07	1.2542e+07	1.42912e+07	1.66989e+07	1.39301e+07	1.55173e+07	1.24653e+07
Q08484	GYP1_YEAST	GYP1	GTPase-activating protein GYP1	3	3	209331	239003			207740	305870	211160		269578	160804								
Q08491	SKI7_YEAST	SKI7	Superkiller protein 7	2	2	263321		345531		210283	254940		191741	311755									96140.1
Q08492	UTP16_YEAST	BUD21	U3 small nucleolar RNA-associated protein 16	3	3	1.49503e+06	1.67744e+06	1.81103e+06	1.47462e+06	1.50397e+06	1.59319e+06	1.39784e+06	1.40926e+06	1.53523e+06		704616	586297		833242	675736	592380	688828	610590
Q08495	DEMA_HUMAN	DMTN	Dematin	4	4	1.80671e+06	1.43321e+06	1.8683e+06	1.43382e+06	1.49835e+06	1.67882e+06	1.90226e+06	1.78325e+06	1.78535e+06	1.84653e+06	1.86943e+06	1.37144e+06	1.47266e+06	1.66309e+06	2.37107e+06	1.48826e+06	1.46268e+06	2.14121e+06
Q08548	ALE1_YEAST	ALE1	Lysophospholipid acyltransferase	8	8	1.20351e+07	1.10785e+07	1.38375e+07	8.38014e+06	1.03346e+07	1.10326e+07	1.04861e+07	1.0415e+07	1.1922e+07	3.87572e+06	5.14422e+06	4.77809e+06	3.83271e+06	4.10312e+06	4.83059e+06	3.54203e+06	4.50143e+06	5.04187e+06
Q08561	IES4_YEAST	IES4	Ino eighty subunit 4	2	2	1.07767e+07	1.2011e+07	1.71515e+07	9.30003e+06	1.22909e+07	1.48065e+07	1.13429e+07	1.0688e+07	1.3059e+07	3.74823e+06	4.27763e+06			5.51718e+06	7.72899e+06	4.45092e+06	5.29322e+06	7.70167e+06
Q08581	SLK19_YEAST	SLK19	Kinetochore protein SLK19	3	3	815707	1.31883e+06	1.96964e+06		1.51591e+06	1.69526e+06	1.77204e+06	1.36383e+06	2.17542e+06								772727	1.14989e+06
Q08601	MCA1_YEAST	MCA1	Metacaspase-1	5	5	6.26708e+06	6.50417e+06	5.64645e+06	5.99126e+06	5.33917e+06	5.61044e+06	5.93409e+06	4.4367e+06	4.90396e+06	3.20661e+06	2.93411e+06	2.52219e+06	2.55594e+06	2.62e+06	2.09691e+06	2.64857e+06	2.29997e+06	2.65078e+06
Q08623	HDHD1_HUMAN	PUDP	Pseudouridine-5'-phosphatase	4	4	1.06009e+07	1.12987e+07	1.27953e+07	7.88922e+06	1.04412e+07	8.20399e+06	1.01103e+07	1.15244e+07	1.16679e+07	6.5657e+06	7.78774e+06	7.24026e+06	4.25439e+06	8.13799e+06	7.39655e+06	1.06108e+07	9.87157e+06	8.82299e+06
Q08641	AB140_YEAST	ABP140	tRNA(Thr) (cytosine(32)-N(3))-methyltransferase	11	11	8.31336e+06	8.07223e+06	1.12634e+07	7.04178e+06	8.14151e+06	9.40406e+06	8.74624e+06	8.01704e+06	8.60209e+06	3.56443e+06	3.91782e+06	4.48597e+06	2.87945e+06	3.69424e+06	4.18698e+06	4.01589e+06	3.84735e+06	4.13349e+06
Q08645	FOLE_YEAST	MET7	Folylpolyglutamate synthase	4	4	7.20285e+06	9.14034e+06	6.22505e+06	8.70553e+06	7.11355e+06	8.49333e+06	6.08221e+06	8.02717e+06	6.8556e+06	3.4706e+06						3.87653e+06		3.3547e+06
Q08647	PUS7_YEAST	PUS7	Multisubstrate pseudouridine synthase 7	10	10	3.83041e+06	3.8208e+06	3.71434e+06	2.7613e+06	3.3115e+06	3.46085e+06	3.35091e+06	3.62975e+06	3.48604e+06	1.67684e+06	1.86553e+06	1.65769e+06	1.12529e+06	1.51888e+06	1.20929e+06	1.50283e+06	1.5703e+06	1.50541e+06
Q08651	ENV9_YEAST	ENV9	Probable oxidoreductase ENV9	1	1		968008	1.7463e+06	2.21061e+06	1.81127e+06	958249		675763	1.12059e+06									
Q08685	CLP1_YEAST	CLP1	mRNA cleavage and polyadenylation factor CLP1	3	3	3.77226e+06	3.95654e+06	3.62761e+06	2.09635e+06	3.63427e+06	2.63468e+06	2.26972e+06	2.82398e+06	3.18136e+06	1.71284e+06				1.21792e+06		1.41301e+06		1.40372e+06
Q08686	THTR_YEAST	TUM1	Sulfurtransferase TUM1	15	15	1.46062e+07	1.44339e+07	1.47064e+07	1.43729e+07	1.45947e+07	1.38551e+07	1.36224e+07	1.49306e+07	1.43714e+07	7.34846e+06	7.42873e+06	6.48511e+06	6.0756e+06	6.83039e+06	7.43596e+06	6.41143e+06	7.38737e+06	6.37459e+06
Q08689	NAT5_YEAST	NAT5	N-alpha-acetyltransferase NAT5	1	1	4.58162e+06	4.80633e+06	6.91111e+06	3.22745e+06	4.9183e+06	5.33049e+06	3.90819e+06	4.439e+06	4.88309e+06		1.96303e+06			2.88193e+06		1.52122e+06		
Q08722	CD47_HUMAN	CD47	Leukocyte surface antigen CD47	3	3	6.14989e+06	5.95384e+06		8.04054e+06	4.58404e+06	5.56498e+06	8.44249e+06	7.15825e+06	7.17154e+06	8.98657e+06	7.02019e+06	7.1573e+06	8.7202e+06	8.62925e+06	7.19543e+06	9.06635e+06	8.22353e+06	5.36074e+06
