protein	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03	Protein.Ids	Protein.Group	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P13693	283844860.37997395	388229197.098445	347692399.86240184	296871051.1795375	371627176.5283476	320477999.9488108	472464064.80565673	377943970.92941946	386442094.2414898	329617109.3155679	268740374.2060898	266927866.9131537	156601808.41697043	229563995.7236436	166438356.3603648	337280499.233824	346928525.2350055	281773891.9438818	P13693	P13693	0	0.006039283737680829	0.4451749816410175	False	0.01812696113927106	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
O00232	302715814.32955945	343696384.8501039	354143524.5957128	283333138.63022673	322386939.65408164	344031902.5399424	346338226.66632295	392535935.7877532	352130300.60733634	332987082.2023643	288792350.1197432	289082051.9315716	180973897.1775649	236769295.3879399	285025426.0651845	300937841.13954073	304453426.35007083	294635271.2690175	O00232	O00232	0	0.006039418557971266	0.27490631051668407	False	0.018132995413951244	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
P13073	518293901.3861568	527071852.3607588	570916746.5739479	469092139.9748407	479261112.1987119	560419470.3273357	510845280.9791287	546274127.6092049	509082671.0631017	481626177.9142341	440942798.01749736	380586056.2215052	503539486.0278431	415524276.61087966	388752466.1345832	499847373.0374509	484457484.1370747	506458417.87939584	P13073	P13073	0	0.006040693236093534	0.19374050713182697	False	0.018139029688631427	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
P38241	66800.99946900703	3554808.115435557	4372998.154353318	52656.44822399959	2210730.95718885	3141830.988500464	2841869.963846909	2950354.4565729965	4534313.81786162	43915.15802399352	2672663.4608243546	68006.80698880085	87166.3802626967	86231.43415726647	36452.24405948815	65561.19057740728	77332.7853158901	1875222.3582220883	P38241	P38241	9	0.006042513769845999	2.2428738714769114	False	0.01814506396331161	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P18085	118585279.89933388	132871442.12218328	121505800.36495525	107809964.54279602	123331183.31872788	119855652.30718784	134667850.1180557	144806851.48719722	123276600.72901563	112958424.77689902	112734879.86144878	80382520.97841178	103401506.08896506	127035842.73014824	106345989.6912428	112745737.78751624	113023870.57294896	90671249.65723877	P18085	P18085	0	0.006095663730870436	0.23206303772846193	False	0.018151098237991794	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
Q9UKD2	429469512.0069581	443592230.14281726	459600283.43831855	437976899.1800253	469441316.915953	431636702.4798132	558124938.1237509	597520830.3640422	587328602.113932	444435028.62277526	418666865.36453545	436950345.6649856	183561864.47111124	290364213.77527267	260752380.13820583	430949335.3898948	420153010.3741897	398438223.5033392	Q9UKD2	Q9UKD2	0	0.006146027338038694	0.4267392721731459	False	0.018157132512671977	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
P68371	504412268.8850384	614719142.9974811	434308266.8692673	553013105.2978803	763410767.8962427	691612641.934665	777340526.0664544	511215760.87862384	556895438.4720246	190111977.86377	257691636.3519724	325400354.4391262	498065818.6715448	387711808.4029162	500289638.0177592	547479230.6826571	470958200.2207696	550358385.3375503	P68371	P68371	0	0.006246569143221096	0.5363813163604764	False	0.01816316678735216	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
Q6PML9	66800.99946900703	33682.76185417935	71389.35561504764	1078657.7104732783	1076319.5664168778	72084.26238152731	1426630.05297946	52184.13399835013	1069827.5098232508	1314876.1797528004	1697699.3310868663	1872312.327638396	1224071.9906995038	1037666.6263599036	906350.4936037664	1272314.2018702924	1350159.8024413218	918643.245686878	Q6PML9	Q6PML9	5	0.006331502939901949	-1.228596235498072	False	0.018169201062032344	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P49902	5213252.633297075	5301124.010687321	5763642.6324569145	5073364.127582625	5755108.539163058	5959334.151611621	5298492.528156692	5796424.286594522	6026035.127117295	6461618.955308538	7465839.767922414	6937171.546071822	7013596.045869436	6302506.273018039	5932624.052593118	5541909.05783356	5681704.036682798	6113945.041583551	P49902	P49902	0	0.006366505498629076	-0.19502253588662918	False	0.018175235336712527	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
P52272	3340989165.812168	3843163204.503724	3401640343.5080166	2532392774.93713	3536040839.8496423	3387654352.33131	4720714953.811236	4635132468.061451	4240892705.8195	3281014884.023348	2799690010.4437923	3356787194.54663	1919806385.1432705	2556429956.2344384	2062511057.093936	3172557984.8213315	3177902496.5798926	2969192479.151186	P52272	P52272	0	0.006378173354951106	0.41121541713490445	False	0.01818126961139271	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
Q9H910	219594811.85618907	244440568.12107787	274825048.629109	199996181.09177884	239945064.47969565	282510941.5549492	227469624.84417	225099775.95041564	260052218.23288617	198665573.2285287	164299126.40597248	203073222.004565	186967995.9049419	192458342.2463548	201910392.47950187	220477861.4911304	241489546.8284878	228728968.59522867	Q9H910	Q9H910	0	0.006393195070730172	0.2421157787813758	False	0.018187303886072897	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
P38630	17683512.81718936	23016255.37615272	13594175.79635143	10032492.315898206	20980604.41953698	15708460.96160755	18456231.415470947	16459442.712631447	16747525.031362258	9190814.60280656	18091741.43322979	68006.80698880085	3557221.165406682	10022872.41219089	36452.24405948815	15226772.576666605	11248041.647455364	12564937.37158656	P38630	P38630	2	0.006410606904323131	0.9323032001208233	False	0.018193338160753077	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P38988	10188679.085169436	9754615.525031922	9627757.120428111	7337822.087227172	8037433.836361527	7732479.119755829	8881330.20263187	9726321.450901955	8742287.09104379	4273188.635929357	4475081.012379058	68006.80698880085	12924612.826296516	6327542.222894259	36452.24405948815	2361244.653297057	4687604.14754851	36775.267578664265	P38988	P38988	3	0.006466656733776977	1.1853316009951802	False	0.01819937243543326	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P46063	61730783.12864807	73063898.32607163	62179483.363407776	47413559.22298188	67987213.76016816	60184294.23913237	75301791.24746627	84459698.50775078	73496954.08838202	58497936.30490833	59639831.0658485	55874887.14625856	58896750.686014414	36357399.518212505	48907704.71186466	55319378.62327691	52615020.34764225	55240454.54465411	P46063	P46063	0	0.006561984610447619	0.3317992911427996	False	0.018205406710113444	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
O00743	15839403.49977074	18210439.555516865	15559488.530636366	22765210.88362493	18458591.30150289	16239635.331122516	21603430.653882936	18355554.037397355	21417846.152988035	43915.15802399352	13214408.19073105	17983489.34576596	15274646.301858736	10968277.186732989	9759418.536768325	14477787.102871375	13257701.54559658	15837379.577861965	O00743	O00743	1	0.006724750206482088	0.6041374869197608	False	0.018211440984793627	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
Q02805	1765508.21736717	2123658.696286274	2367790.7503126147	922561.6436746484	1390446.733802687	2380952.249705149	1605620.780098491	1838327.6439969903	1808855.5702144648	43915.15802399352	80492.4314286911	68006.80698880085	87166.3802626967	86231.43415726647	1590678.8648088558	1506014.3613085423	1690753.7088424205	1789249.8371661846	Q02805	Q02805	5	0.006730498623640511	1.2227962202157967	False	0.018217475259473814	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q96S97	66800.99946900703	1442854.10831897	1000357.6242743868	52656.44822399959	1105455.436518866	971944.5369356844	1452648.414679555	999688.5246077302	968223.6884130584	43915.15802399352	80492.4314286911	68006.80698880085	87166.3802626967	86231.43415726647	433109.4062500001	977671.6655412592	486855.5831411599	36775.267578664265	Q96S97	Q96S97	8	0.006891747835483568	1.8091181177836255	False	0.018223509534153994	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
Q8IZ73	49890841.6717808	44094463.10921501	35653378.430804454	45481158.07902548	48010770.85614094	42466984.514389925	45545000.3322138	52307468.22761786	48707625.71881885	57285796.34048777	49916494.91605571	49091560.81850608	51109031.82577734	55132834.10731614	49681360.66888167	51972258.07653815	52557635.99002476	49547315.49898271	Q8IZ73	Q8IZ73	0	0.0069280771643613825	-0.17804434177124628	False	0.01822954380883418	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
P34220	66800.99946900703	1738630.8896291915	3739622.422425499	8006800.615064091	6685141.609165142	5294865.540306673	2209306.527583539	4405513.167542591	1863229.105376126	43915.15802399352	2926374.284776164	68006.80698880085	87166.3802626967	86231.43415726647	36452.24405948815	1628737.6236346848	77332.7853158901	1203982.0333804097	P34220	P34220	7	0.006942272813948102	2.4653748904528676	False	0.01823557808351436	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P00491	593627729.459489	670451526.2316946	625474982.9540836	610845776.2204236	708681548.0427845	627671332.7631351	657667222.8538437	742003314.4666436	648379910.1939381	612641004.0893317	643355381.5461845	561777772.80535	625936903.3275442	479007138.6748421	468327170.0304306	607209438.1891255	573917610.3689433	582609173.2921436	P00491	P00491	0	0.00697297870866847	0.19108290244797407	False	0.018241612358194544	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
P39107	9888612.009581847	12338835.93690466	10189137.786545709	8564088.754333943	5655405.19576782	10060581.155496543	11121659.739927027	10253408.280262835	8294736.359754666	4415241.677042118	4664046.54852662	5348781.549568939	13463445.495776247	4779320.048410515	6379234.023016534	4769489.634202868	5364018.182182825	4321970.371937475	P39107	P39107	0	0.00698564043025772	0.6907827647039952	False	0.01824764663287473	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q9HCN8	94028888.57491969	85911166.64165077	82892055.54740645	82894135.50073536	99228017.034465	92212270.9291253	95488183.92702048	108909678.4176677	84474518.73958315	70604871.80171184	83318546.32890019	92196947.16714956	83809122.15428331	66801964.86951872	56672158.60707811	85858683.51666495	76447420.12916802	79467126.07430787	Q9HCN8	Q9HCN8	0	0.007042850626532576	0.24882972915761956	False	0.01825368090755491	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
P03928	3351918.4218223314	33682.76185417935	2526555.7029049867	1185441.9343000883	2108241.4474015664	2113651.00991974	3712615.854541802	2124753.31196548	2881155.242740562	43915.15802399352	80492.4314286911	68006.80698880085	87166.3802626967	86231.43415726647	36452.24405948815	1340881.2663620715	3429160.2585413666	36775.267578664265	P03928	P03928	8	0.007059201209828516	1.9436388048021358	False	0.018259715182235098	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
Q9UJX2	33618463.27366249	31221352.866031148	32865854.8542682	27502610.275266048	29687485.19286549	34851099.52786076	32307133.72661031	30102222.951523505	33691579.89340923	36727263.88204787	34414468.16878635	35849093.54995184	29643669.644245803	37390750.93374647	38603147.613561526	34347774.12752765	34797100.92773586	36217647.45158415	Q9UJX2	Q9UJX2	0	0.007061642145627198	-0.15373835451805115	False	0.018265749456915278	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
P33201	116092766.36592288	41375557.155792646	38131556.237681925	56664433.38910231	116918617.14574364	37133238.86236655	41233562.77382372	43455537.6705042	42847364.66788486	24894433.56722197	21150488.19248977	14344069.195305727	24787151.316247456	18905154.60477789	19660205.20601571	17852940.652799368	19058037.49779916	20810859.728231777	P33201	P33201	0	0.007248538717981048	1.5567634345671222	False	0.018271783731595465	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P14314	317753114.646263	344807619.1763514	337796712.6301236	280762800.62887084	329052487.93089426	327620482.8167436	378050695.8432256	358862081.54741055	348245541.77487195	306267438.45895034	297596967.8022948	284005366.98170257	146191358.7077669	272709081.85845065	242720615.46758896	320905808.89261764	293042184.5209006	290317852.8118411	P14314	P14314	0	0.007339457473674317	0.3009656577371129	False	0.018277818006275648	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
P25808	1487440.296770534	1283167.826729158	1502530.3104798507	52656.44822399959	1470457.8310725826	1122115.7914367735	1425966.9039921665	1428119.3817350832	1519575.078088014	626596.3492468171	704303.1558754732	861738.5855125474	87166.3802626967	887351.5341380417	660932.9467011122	835422.7717363038	409955.01840412646	1019105.4099454478	P25808	P25808	2	0.007342602064834336	0.890181513569814	False	0.018283852280955828	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P23284	1084376482.8674085	1309777961.408718	1354067678.8122716	1280350623.9366329	1190802746.397108	1246404032.8406663	1382140935.896788	1242017967.1582778	1255557441.5867095	1061273756.5443578	1117596538.0767822	1271726789.641519	1265442997.956966	983521324.3294616	1057650482.2046244	1175832269.775478	1143461925.971735	1028708596.6959645	P23284	P23284	0	0.0074135369142963115	0.16701969389494173	False	0.018289886555636015	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
P49023	6652078.55465387	6899113.957224334	6489569.625309707	4050020.456508588	9867675.74387278	6535093.426517918	9765127.059827732	7324709.918852905	6351333.279134351	5281291.896225892	4099969.638126421	6707032.106471431	4032888.92661588	3507918.1494783	4529822.929933857	4945893.300138882	4865408.888404382	6253748.086365478	P49023	P49023	0	0.007428188553833418	0.5317709806921186	False	0.018295920830316195	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P53049	4334506.370157607	4898084.1511734845	3956028.11756634	52656.44822399959	4167196.7642952166	4693225.999559694	1765075.114841221	2119316.7244429635	5301078.574567325	2040469.8107961875	1755090.0099636323	2091396.9702868	87166.3802626967	1942302.7545459005	2211226.4879856464	65561.19057740728	1827767.127726664	36775.267578664265	P53049	P53049	4	0.007434077854044835	1.3756096487588687	False	0.01830195510499638	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P62244	708556199.2381577	913358966.6198524	926588061.7784104	674150616.2752668	840738969.9811554	859397530.7674959	937439823.8650346	963854842.999002	972176301.4868006	728161739.9600654	813285125.0981935	674798869.5636464	583008470.4961032	482098812.77508265	660587332.3704245	814251642.3017277	788421063.6113374	795237414.9048135	P62244	P62244	0	0.007451700892976516	0.29833363327786655	False	0.018307989379676565	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
Q9UJS0	244720968.81005675	257632445.73009625	244380010.83944303	248935987.64803872	272545560.5988025	241281301.1347733	268842656.35894406	261896623.67008469	246198023.8345512	274886494.606722	270022191.3890684	281640908.55219764	293454668.05725896	262149083.8731008	263071226.2254028	266925487.61271933	257207241.49388584	265055752.4053357	Q9UJS0	Q9UJS0	0	0.007513389898630191	-0.09047496608588111	False	0.018314023654356745	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
Q9UBP9	66800.99946900703	2751122.7683725613	1585677.4042991877	2121675.0630106768	1799677.760170313	72084.26238152731	2543981.1572700483	2660839.391995113	2742374.245612562	43915.15802399352	1839028.3845613888	1774714.42539411	87166.3802626967	86231.43415726647	36452.24405948815	65561.19057740728	77332.7853158901	36775.267578664265	Q9UBP9	Q9UBP9	9	0.007524833387346076	2.0137937339152567	False	0.01832005792903693	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
O60934	42642379.060458176	49611276.554554224	44947194.970868185	45478854.88903748	46598636.81872071	47684287.39913982	52686920.19630882	46270222.9267102	48182438.59227564	50484632.23185635	54277576.48608063	52335894.09149638	45853421.37217845	55239443.23137253	49757818.2391292	53579181.12603197	49588737.73690068	50469861.46466288	O60934	O60934	0	0.007605908809063031	-0.1221892307434558	False	0.01832609220371711	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
Q96JC9	701386.6478169571	744290.7883857656	905117.8089318536	768585.7075357088	707103.1557240145	210608.9536397434	267756.93365286326	752451.6197940547	577269.0798476661	601062.6183763454	445289.4209394695	68006.80698880085	87166.3802626967	86231.43415726647	210377.89519447173	355349.4327794432	490246.5423927184	445505.4095026079	Q96JC9	Q96JC9	3	0.007625351428525533	1.0144357172771177	False	0.018332126478397298	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
Q99595	66800.99946900703	160534.9542229364	71389.35561504764	52656.44822399959	169368.38150395546	72084.26238152731	67036.65912848967	52184.13399835013	39806.19090300663	650578.774485084	894392.2395647989	844532.6021744804	231793.2964749013	373387.785155225	434756.0625000002	65561.19057740728	157508.80310362633	261917.5030025961	Q99595	Q99595	8	0.007643634642917152	-2.3802629886789486	False	0.01833816075307748	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P49755	6519150.544284923	7719385.433633535	6368344.949927584	5192816.137661823	8321019.950115313	6679387.448205122	8376910.895565592	9129085.214021318	6394151.884120579	4870299.686165454	5814697.264126791	5581505.477594954	4439386.699148262	4429255.384645811	6304888.99402398	6379275.998343604	5660486.281112038	6922504.378808325	P49755	P49755	0	0.007661402793003012	0.3602817673712029	False	0.018344195027757665	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
P62318	407340685.5022903	462630796.177745	378366531.734286	410130544.3399938	453302688.8930749	379625828.5012865	473657723.3787216	469036502.4513192	407273244.1028217	81331995.51353113	127941695.87168042	87603911.08136618	351333925.7593548	337187315.6510575	279213640.30503327	423613306.2856448	389246482.9149201	347899366.82509005	P62318	P62318	0	0.0077443168599446366	0.6634130532662147	False	0.018350229302437848	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
Q9UI15	5388319.98431732	7722087.629311134	6069872.263642852	52656.44822399959	68345.26959387641	7714118.053540686	6691814.213721676	8612046.114049258	7834402.653416984	43915.15802399352	80492.4314286911	4302097.706186479	87166.3802626967	86231.43415726647	7085296.297720186	65561.19057740728	77332.7853158901	36775.267578664265	Q9UI15	Q9UI15	9	0.007825909879151622	2.0796589326319466	False	0.018356263577118028	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
O60469	8654877.300719837	9805687.829618458	9969383.940316126	52656.44822399959	9853252.078404954	7616217.043344935	11709504.261685869	10522762.099068057	9821685.887839928	43915.15802399352	80492.4314286911	68006.80698880085	87166.3802626967	6977769.584056004	6191917.921920899	65561.19057740728	8708469.941183314	7983627.06938886	O60469	O60469	6	0.007857816761908937	1.368706194399048	False	0.018362297851798215	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
Q9BSY4	66800.99946900703	33682.76185417935	71389.35561504764	52656.44822399959	68345.26959387641	72084.26238152731	2921537.872578371	1471144.5883305967	39806.19090300663	4005024.03168179	2937638.6271156115	2668322.398367132	87166.3802626967	2008699.994972861	2469791.25	2768050.542963214	77332.7853158901	3882091.426240708	Q9BSY4	Q9BSY4	9	0.0078767273644998	-2.1234481360760156	False	0.0183683321264784	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
Q8N543	31537389.09920824	47259846.34230656	46587879.90982627	35501850.0057557	40104566.77962976	45463458.92980948	47934502.33842725	49687477.82100706	48581762.51885419	33186672.950393777	40467472.2242295	44658271.05321556	28689545.937648248	22909281.414111763	21665172.01807428	36210866.20287902	37059083.95885842	36324787.79063011	Q8N543	Q8N543	0	0.008069934837302924	0.38269239275378036	False	0.01837436640115858	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
Q9UBT2	759089520.5866624	730896548.1136038	696557175.251504	660590221.6014178	709135804.9359934	719260786.9877119	744075218.0067239	776566021.1539805	825059973.1009518	729336253.6536187	688940542.7509284	642755241.4232075	529904339.97100806	620274741.6850442	599306479.6717222	692162667.7168045	701384209.4833226	692218621.353604	Q9UBT2	Q9UBT2	0	0.00809042565728205	0.16729372832306316	False	0.018380400675838765	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
Q969T4	13195912.45342436	11401575.302302476	10911721.314522035	10398383.030009707	11499702.22634544	9801049.716260338	11195889.528936232	14179131.647616183	12372870.670480616	8590536.567883883	9130214.101094684	12755280.54399995	87166.3802626967	5155913.957247614	4943660.965533621	8995416.651943155	8917401.036116015	8607929.000725692	Q969T4	Q969T4	1	0.008216800920305516	0.6436086118692448	False	0.01838643495051895	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P35914	6675638.871740925	6758794.288826361	6434118.846128598	6111605.695098794	6218586.383530242	4980929.047883404	6690800.510434353	3840213.198290663	6901999.586144991	9189115.782608446	7621278.874400111	8623509.102658985	8585973.859108819	7308247.180508202	7498680.074740438	7148865.499015993	5153627.742057638	7480780.068900672	P35914	P35914	0	0.008234307594337848	-0.32918438496175173	False	0.018392469225199132	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
Q8WX92	75384353.1097639	65639971.73997381	60775408.66677892	64486949.64530499	69723460.60264371	65443157.68109496	68608597.38705948	75866934.54242004	68531499.8285637	78348262.23076086	75768923.50017218	74728511.70062076	72644361.8617173	81487450.23771511	70075362.11025132	77440691.99314126	72103981.79003072	69583542.78330633	Q8WX92	Q8WX92	0	0.008294598307350354	-0.1295300733417904	False	0.018398503499879315	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
Q01844	204578123.858468	230960581.5685397	246952098.85055405	145444323.71558496	242863632.95651865	245262847.09433207	274221454.30739534	294664917.83056825	308196999.46810853	184921813.7459407	194754592.2720977	195114412.6496712	89290732.71610364	155076646.3868485	149677391.48096633	226550828.6764519	200973099.4793862	214341665.1469597	Q01844	Q01844	0	0.008300751569887445	0.44531231576517155	False	0.0184045377745595	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
P36523	1674253.6786698743	33682.76185417935	1914586.3465523547	52656.44822399959	1321978.924005135	1916592.294502464	1740097.0253561523	1435340.0683336705	1747647.1249252358	773902.5533406977	770205.3053779288	430096.2209879999	87166.3802626967	593391.3332187799	36452.24405948815	65561.19057740728	679785.6642213184	578035.6732116437	P36523	P36523	5	0.008396429574548331	1.5599564157678427	False	0.018410572049239682	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
P53992	303208694.26804066	333980702.54433054	322730597.6453724	313531939.3602853	304613992.46961135	319299680.9403925	326918086.6370179	301502058.1570555	329592118.7094611	323302052.1115367	344406706.2100871	350314639.8723189	335604330.012757	330147832.94175786	342104440.3114131	321500251.3747739	318096171.1182031	338939310.12898	P53992	P53992	0	0.008405830480193601	-0.07340277921404485	False	0.018416606323919865	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
Q9UBV8	55158721.74902972	55504977.41497345	49516203.50856718	44765203.26531805	55022252.9217769	50352948.36221904	64299718.43370795	68455163.45274925	62795349.73894472	59897823.48301829	52214966.28424328	40581310.31824373	35359986.794235006	38931415.16794704	29347584.168752592	51310464.76605303	45590524.23714706	42777022.40094354	Q9UBV8	Q9UBV8	0	0.008413864268503775	0.3532273609152938	False	0.01842264059860005	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
P38919	1480675698.402888	1498277119.8904362	1457203901.4243374	1579413160.352109	1541373110.488655	1516852002.197111	1594565710.2237957	1671744893.851656	1691253952.9267874	1551551386.4167247	1467772002.922116	1428586546.510085	1537925994.0511997	1233468648.9885223	1286075366.2873914	1496977941.6693678	1417726838.927807	1369118311.8373888	P38919	P38919	0	0.008423265122358673	0.13372843861299147	False	0.018428674873280235	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
Q99594	66800.99946900703	33682.76185417935	71389.35561504764	4274623.947177707	68345.26959387641	72084.26238152731	10519809.58905162	8677813.692122215	5740638.776624852	10636235.162478624	13915903.87367273	10429858.956697104	87166.3802626967	10969160.925234737	9205286.035755413	7744103.731672421	7928606.010280373	9546830.0759224	Q99594	Q99594	6	0.008480964372241944	-1.4463819609785975	False	0.018434709147960415	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P31040	414217741.5982916	376175009.224776	374927606.7018372	390670078.0464057	399547053.7507063	412469589.5531458	417062610.85998017	454712418.3120665	423542791.494728	380954653.6990281	378538515.5543063	362368864.3931143	353270798.7311052	389082322.4513101	375055350.4846007	400610889.74213225	380162144.4489241	375396871.9888572	P31040	P31040	0	0.008520638732421685	0.10955494517942628	False	0.0184407434226406	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
P05386	482880450.4476668	108945132.45855498	852061309.8910844	546500814.2067316	758527039.8552582	469692011.3046759	740209974.9999659	488551956.0465066	620207657.5842549	117064510.63911404	191261002.1043831	114381316.81051226	369056471.97576296	305823298.9251175	320428541.71069974	494572043.9447836	426060145.405035	355643271.9546619	P05386	P05386	0	0.00852389925341814	0.9113904522999937	False	0.018446777697320782	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
Q9Y324	5224080.26793981	4350041.635671879	3559528.978689716	2409291.6122135366	4488492.444223974	3950479.2736491496	3945209.502758661	6600201.097324372	5404689.050339664	43915.15802399352	80492.4314286911	68006.80698880085	87166.3802626967	2205558.194446933	2579890.238658504	4501650.111640705	4480897.829443327	4181387.1937226746	Q9Y324	Q9Y324	4	0.008678994061517644	1.1313132333923286	False	0.018452811972000965	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
P31153	382854384.60957664	462994924.5781997	396513979.8965764	417614938.8200829	400535630.17050064	419379808.4616235	428280488.3252304	439142693.1094153	456708860.3985306	369990155.95992255	399105963.9334881	367531813.2210015	216729164.7362272	259876465.5045538	361629525.6894965	390930906.3363373	398705935.9241385	366882151.4537524	P31153	P31153	0	0.008733890135712269	0.280727443296551	False	0.018458846246681152	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
O94788	640277731.0681354	749422864.7479604	730851633.2995052	603406303.8805602	689729648.7205561	711576817.5762315	717428809.4848181	798397458.9930788	717364696.0890837	642973836.3039936	680149646.6122388	659869060.6801169	667566477.1381791	538975770.4227008	475593061.9818118	660749327.8335667	604766656.2159705	626310318.5717946	O94788	O94788	0	0.008811992378538486	0.19438213734849896	False	0.018464880521361332	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
P19623	383680910.32929695	461072947.7510072	400708492.9769092	394167817.9599261	485756685.3094408	398243670.5066331	534872482.1230677	472301534.7300097	450713852.1654923	387700583.6025438	357523563.47969	389300957.98969066	441792179.0256269	309520406.02449644	291685945.20069146	409558840.242696	388348013.4933911	381492479.37331575	P19623	P19623	0	0.008826272922780522	0.2461792908278639	False	0.01847091479604152	True	False	Human	True	False	False	True	diann231	directlfq	min	0.5
P32364	4395027.224147862	3525031.2552215965	1983305.6326624104	3294898.934522889	3767329.498636319	3920261.768904113	3873176.168588284	3830371.1247648527	3175158.564075089	3827754.898542871	80492.4314286911	3192781.6020139284	87166.3802626967	86231.43415726647	36452.24405948815	3739320.596280219	77332.7853158901	2517252.145320985	P32364	P32364	5	0.00883863665033664	1.2190684316678575	False	0.0184769490707217	True	True	Yeast	False	False	True	True	diann231	directlfq	min	0.5
Q69YU5	14316951.521940837	13986227.947797662	71389.35561504764	52656.44822399959	12853385.57092604	13363496.357739624	17769773.638320457	18243455.711775474	13039787.492585365	11525926.045097113	80492.4314286911	68006.80698880085	87166.3802626967	86231.43415726647	36452.24405948815	65561.19057740728	13344620.537839582	36775.267578664265	Q69YU5	Q69YU5	9	0.00886948455167041	2.0333867132599655	False	0.018482983345401882	True	True	Human	True	False	False	True	diann231	directlfq	min	0.5
