protein	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Alpha_03	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Beta_03	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_01	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_02	LFQ_timsTOFPro_diaPASEF_Condition_A_Sample_Gamma_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Alpha_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Beta_03	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_01	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_02	LFQ_timsTOFPro_diaPASEF_Condition_B_Sample_Gamma_03	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
O15126	53559.44589725954	55772.211674130405	61137.111211315496	51076.09495671	56942.47131643748	56272.763654599126	59821.02966336692	52117.45345367436	51876.91916811052	53739.79043851053	55656.72959648701	61540.26726915128	61044.55653069713	58643.47983991531	62738.4967990716	56245.54486268939	58518.26463046694	60284.523219346775	O15126	O15126		SCAMP1	0	0.04886315988789832	-0.08385028961023244	False	0.03142248474871696	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q9NQT5	591991.7698575648	613210.843742085	588489.5075824804	600752.6053435791	603206.4790026775	524808.6553899329	600761.7129775638	566493.0188804041	546161.4754781141	615912.2896434638	611089.0244237132	590417.7725875985	639955.7858774558	620649.4485368627	578148.5641818909	620772.4151279452	642939.2131884926	568450.9574290458	Q9NQT5	Q9NQT5		EXOSC3	0	0.04893744674900461	-0.06793771852514668	False	0.031427326425873925	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q9NUL3	159671.81723708924	149479.09403442967	157973.53484085578	164884.92025155487	149419.6694423384	152436.0958501755	148220.25731860916	150145.60961312623	121890.26645381712	163062.36149855008	162071.98246202522	167028.52906276187	158397.20807163668	156465.33691418794	155896.2604747938	163150.7454920131	160837.2656182323	153677.79727470624	Q9NUL3	Q9NUL3		STAU2	0	0.04897551550453911	-0.08930033626931738	False	0.03143216810303089	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q8NHW5	40612.408431650765	40880.43424732616	41155.10174068271	50827.81850825514	44161.78595747476	36715.451629544725	46676.98445353074	46958.21271740888	39199.59512806569	35292.9210800518	37934.28159487563	42157.5600626326	38745.02622081165	31727.887001251816	39808.17961394122	40863.02639480979	45574.64414860052	36622.525167318425	Q8NHW5	Q8NHW5		RPLP0P6	0	0.049116288802487675	0.15093932485206318	False	0.03143700978018786	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q96G28	121633.30680496345	121437.6666442305	125353.95232598274	121106.79761338088	133505.00646761118	116906.79128034411	123785.89042555468	122951.14891557152	136272.5230219722	125228.152867105	128843.29435389978	128086.6785369574	127091.88246557636	129028.29583783267	135112.11325994358	134366.07401754745	128662.99618563164	132887.3387232215	Q96G28	Q96G28		CFAP36	0	0.04920945876462033	-0.05835588907818691	False	0.03144185145734483	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q969Q5	45389.017962768616	45364.5712629248	47652.87394843876	48219.86194914893	39362.61704278233	48266.84893163402	40944.09994632074	45679.26934561604	48185.45879460219	43565.79852564197	43647.70726565803	45266.99179785082	42544.82911178024	42060.51972391544	41742.93246276444	43270.75557508192	40643.0641814435	42838.9820654821	Q969Q5	Q969Q5		RAB24	0	0.049242786456327445	0.08529262559318843	False	0.03144669313450179	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q9BYJ9	430453.82472589007	438192.46865778987	458281.4240995196	450894.68894277234	453893.16702013375	474415.9842790342	454880.6479204608	446071.25140112336	462557.3027909478	457266.57286107226	482947.3481659623	486140.16931552446	479761.8449602009	457522.0745077638	474549.0872779281	438078.0905974062	449531.6458542753	484105.2356189829	Q9BYJ9	Q9BYJ9		YTHDF1	0	0.04924883433048786	-0.04888522485402637	False	0.03145153481165876	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q16644	81680.75106961711	92576.67512236536	86850.11094036768	82825.92618140356	86306.70863166601	88494.20784828934	87472.04567270355	88586.04594819421	83311.31639421098	84842.69863728131	89911.83206116605	91557.80864091404	86770.61081295695	101858.45325828712	90302.21944157362	86760.48833818776	96520.5206592601	90371.94212418856	Q16644	Q16644		MAPKAPK3	0	0.04928178825294823	-0.07371864933351753	False	0.031456376488815725	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
P31150	396281.15504814696	386124.6956719462	350612.46239267226	390498.2036373881	368762.3005986292	320799.5694593673	368131.56557701976	388219.98591241805	348641.7695086068	402284.0350398874	420380.16100103065	375321.444787991	391586.634971419	403589.72898528696	377634.2427215171	417053.06768246245	367324.5367549507	368591.7266317823	P31150	P31150		GDI1	0	0.04929454571056064	-0.08677288583816001	False	0.03146121816597269	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q96CN9	97995.9103375493	102741.4221620462	99165.30353611468	109208.59839770624	99599.80872297316	93364.43764498664	98041.55029344636	95614.8248291724	90654.582251701	91400.54145335716	101540.60840100612	88080.91212366581	92299.09656240724	90862.83041038434	92133.03356642148	100751.91198411764	93090.67754701992	91106.97648989494	Q96CN9	Q96CN9		GCC1	0	0.04929602193153389	0.07537276031474695	False	0.03146605984312967	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q7Z4H8	67326.68228875037	75838.7615348181	70604.79533060238	79920.65388982689	74316.35641893787	70398.35366464767	77576.95958602273	63567.96574650498	78844.50512142769	75399.1191336683	78148.46126618028	71627.11902378962	76160.12094317845	83280.59323887056	86497.46660438976	84781.46162012673	79296.14104048701	72314.61988516076	Q7Z4H8	Q7Z4H8		POGLUT3	0	0.04932272465052068	-0.10378709993097321	False	0.03147090152028663	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q9BZE1	234619.1651470214	260410.90250343908	255204.3490911743	259098.94471207983	258949.34150619185	261594.25043164912	241520.8871628615	253586.54031612552	252180.0889216377	239849.87364496756	258135.65005006312	275321.19407790434	260429.22411875703	271567.9248031271	260369.87241884312	265875.16641943675	261182.9231953607	278240.3531913088	Q9BZE1	Q9BZE1		MRPL37	0	0.04937976084703973	-0.05824024121139345	False	0.0314757431974436	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q53HV7	9177.82308807888	8224.04572752571	9024.202076351292	6931.924027306257	7502.997528128146	6743.384087111807	6275.823891155204	8169.806792314893	8033.888480732919	7354.225262251066	5695.571584828583	6646.450159128294	8602.359655387765	6001.788462371926	6426.473331544081	5080.231410827013	5884.170031926437	8356.770983717	Q53HV7	Q53HV7		SMUG1	0	0.049402027858698745	0.22296579357376956	False	0.031480584874600565	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
A6NDG6	655888.452931008	559431.2097439774	551301.391876042	543995.8869752064	597516.9040569561	536732.1158567324	562330.0362719337	527185.4699049458	588591.2365363949	571369.6547917232	596882.7343567138	616039.271538843	626888.448045104	623107.1322406589	598562.9725064263	537885.990688975	672037.4500200608	632796.5953861331	A6NDG6	A6NDG6		PGP	0	0.049413665118104404	-0.09602801608995308	False	0.03148542655175753	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
O14647	27489.839040284776	26229.80144472937	25103.14066182511	23446.474399119517	23111.14992999544	27402.992124434724	26489.123348802997	31802.60470521848	24557.594651890715	30156.476234334623	26440.37871131852	31228.29158131097	27576.8979824324	25121.8230810068	29189.2632398384	28657.66753373391	30931.41355231374	27738.33518551291	O14647	O14647		CHD2	0	0.04943730957089212	-0.12545606881558535	False	0.0314902682289145	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
P01033	27187.706830164163	28918.582918640845	30323.85830235913	30650.45056294884	30918.25306524971	31916.297675510912	32575.34964585921	29081.91989281989	33484.45642473527	29210.33837916537	34222.44747510463	29101.463750198847	32605.37083103005	34858.728874167035	34301.01028219776	32132.978916224965	33220.74977355054	33918.189129019105	P01033	P01033		TIMP1	0	0.049809251598109866	-0.09398085886718724	False	0.03149510990607146	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q06136	878.4525744839316	658.0308227999999	737.2492575714003	951.4693441010288	754.5279791797385	1152.7456998606008	756.8729484870324	805.2877514350123	309.7196353301593	213.08764122672443	704.4292895772682	536.641883297337	855.7713930005306	668.6400557698951	161.87386971171185	690.1351984418666	709.006446986859	312.605275245839	Q06136	Q06136		KDSR	4	0.049845551097158526	0.5296160569127362	False	0.03149995158322843	False	True	Human	True	False	False	False	diatracer	directlfq	min	0.5
O95140	459371.6389188244	421812.1253679032	424880.4501183916	453842.02155754	459460.5014778629	469525.97757012193	444868.37196018384	469559.5891136939	483686.6179568143	475549.9610333675	467226.031858277	450197.5033603675	485395.4952103474	465505.9461216107	465177.9667036518	477549.313984355	475174.0672992247	475803.3031364979	O95140	O95140		MFN2	0	0.04987198017575518	-0.05219564656250409	False	0.0315047932603854	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
P20674	310022.83105240506	306728.4514995726	323606.59593366424	314552.0672785014	313866.23981916124	310255.21594169555	318770.0163810195	315776.16669996124	329572.5337313162	295916.1633333758	311318.2075839988	320381.86443915847	301445.14514728804	310523.2122140641	315405.3238905534	308297.99600561126	309421.2050335686	305685.94309855404	P20674	P20674		COX5A	0	0.04988984211782437	0.03323852422673806	False	0.031509634937542365	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q9H4E7	54716.284278976585	48912.45591902502	50940.98288657508	49095.31076293471	53802.52138364099	51586.53428809738	50680.56086158504	52564.45256762885	46309.188664990135	62567.58300710021	52923.19238305213	51340.53401606665	58489.654362397865	48487.965690178375	51823.44503496616	57186.82680647831	55536.49336039889	52800.44315608184	Q9H4E7	Q9H4E7		DEF6	0	0.050042612605721945	-0.09891928909062601	False	0.03151447661469934	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q7Z7A3	348800.5916761851	364472.0165356445	377977.0215320344	351059.3663969677	360233.2906378083	384571.9093176646	381815.60045639134	357415.1450490548	386893.277661021	340777.35418422875	360001.638889404	366049.2058011805	359896.2902026948	345598.6107133091	365312.8470219299	328337.686446498	364568.7103749803	356849.90266797994	Q7Z7A3	Q7Z7A3		CTU1	0	0.0501733451178807	0.05586536508111655	False	0.0315193182918563	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q96EB6	331598.6140491032	315703.58691315405	297560.44961920124	306046.9509515135	296809.0442206321	324040.3531872632	305146.6610833163	330493.1014454495	317197.8515225623	305039.1358321729	310540.1700232418	292425.8202222102	329016.6451466934	294326.0778694543	266506.08239692886	288607.1640796713	294232.403587449	305379.2744305244	Q96EB6	Q96EB6		SIRT1	0	0.05020230320207027	0.0725464555742945	False	0.03152415996901327	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q9NVS2	164128.5744725884	184412.5595673576	168871.32557435593	188122.94689888263	208532.133679995	164657.71071949293	176336.0015006823	187366.23717519475	154725.94602986204	183278.512517572	199475.06777823283	199235.22581968695	167689.68742768496	216574.6197390054	194187.4879324765	179998.4947734416	192572.98365535712	202658.67188999156	Q9NVS2	Q9NVS2		MRPS18A	0	0.050299963128568374	-0.11999038487622822	False	0.031529001646170236	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q9UHA3	8963.195081777129	9423.309570000005	9275.246192260727	9275.253544160869	8983.799782395135	10115.45892898092	9757.416753861657	8414.033110561013	7717.433006182103	8877.292675038487	8368.401908150578	6775.245424665799	10168.746184819234	8883.936050322542	7785.34412913117	8006.57859848047	7025.088853577531	8011.315409577013	Q9UHA3	Q9UHA3		RSL24D1	0	0.050438608953528086	0.14869392097450598	False	0.031533843323327204	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
P11277	1017550.620727009	1001546.3073447556	1025578.9316818313	1015913.0611378412	1058690.9440033792	1042092.4774264348	1020345.5606177064	1061987.356568149	1045420.822518518	1072352.074657216	1052298.3407969535	1020324.0003549624	1034555.2442518828	1064361.1477210526	1087541.2806097148	1024559.7999138816	1056455.8985230085	1076982.5585499117	P11277	P11277		SPTB	0	0.050444649323166314	-0.030778609526627712	False	0.03153868500048417	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
O43172	851726.7995236132	863805.3046524492	854754.5798503087	843742.7667122177	901966.6560823828	861572.3324729031	889605.9132492279	855563.2210552634	870625.5453575627	841660.6027167304	903872.7989078432	901716.1050666032	904681.8661291796	880739.0785491182	893207.1627759244	880145.564195816	907042.530340861	864487.6093219804	O43172	O43172		PRPF4	0	0.05072286143745232	-0.033700307880293774	False	0.03154352667764113	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
O00635	20884.36439969437	17902.706131750725	16584.13702310668	18310.02670134828	18378.245285677207	18499.166694235155	22113.93964830091	18338.255896934912	17607.760288178873	21503.21428990216	20008.38157142704	17977.594877418145	27087.85747211845	21833.628622174758	21140.15801414801	20457.441469747304	18595.789146245894	20085.57262242278	O00635	O00635		TRIM38	0	0.05084018453598909	-0.16225149560689806	False	0.0315483683547981	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q06892	8514.427592848318	7236.376952999998	6982.570436597684	8468.348160699916	6706.505171038147	176.48165593763702	8409.385167008526	8554.042344943064	6367.010867832675	6659.502995720794	5988.151792514303	315.14893003969803	311.1852134101032	6153.838828393662	6082.412443943071	251.38323433111665	5130.660547497207	5831.820042184703	Q06892	Q06892		POS5	4	0.05087833896730546	0.7418672541212967	False	0.03155321003195507	False	True	Yeast	False	False	True	False	diatracer	directlfq	min	0.5
Q99595	117189.71528428896	137101.9423554215	124461.19287236869	134037.01454622424	129873.38247820608	138267.78112986853	132807.59555737657	111891.24892306142	150238.42243657386	138620.7811654142	145357.17894426864	133204.3400996067	131302.27729827535	138126.68523774296	146605.25579057992	141702.5548021975	140903.84968166694	143258.80587749195	Q99595	Q99595		TIMM17A	0	0.0509639749690808	-0.09864545502654737	False	0.03155805170911204	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
P61923	286242.4275711398	294015.1746013193	276458.5444594677	287947.62674519885	258220.0594911464	268597.3009154952	298387.8670134825	295235.7163191284	309677.93485462974	297931.8383342937	303664.163317749	294346.2567221374	294749.62717344874	258854.91090689055	335992.1742197544	342398.51931057894	319145.3030711474	319912.0125022809	P61923	P61923		COPZ1	0	0.05102281207208727	-0.10386928200488572	False	0.03156289338626901	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q14118	8185.140973358331	8146.408864359796	10018.970014154826	7277.77675694858	10000.369523319105	8080.97555920023	7684.526330616823	7755.790991155137	8951.249539500548	5090.045013153797	7728.227624314289	8439.205973580205	5024.2999108183885	7879.905142635859	6994.663894149319	7963.763639552823	8210.088554869646	8226.750292551798	Q14118	Q14118		DAG1	0	0.051171573141409334	0.21517062871580758	False	0.03156773506342597	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q8IWP9	3030.8326197819674	3413.1345209999986	2996.809880740632	3034.6220891132693	3100.3908484208696	4143.725429947261	2882.883445063144	2920.0393583600867	3233.2293845368768	3184.253641591193	2523.956274803603	3757.445449015744	2144.550447245323	2537.619836677411	3171.554131403245	2458.300544777378	1778.31374088129	2629.476377796058	Q8IWP9	Q8IWP9		CCDC28A	0	0.05125701917324122	0.24970573032096477	False	0.03157257674058294	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
P82933	481684.1302666201	467381.0530185246	537760.8205384065	488977.4475313584	481294.701876684	496034.0745584974	503043.38813466666	507245.0896110769	523926.05859835335	471497.4310490365	512978.081981688	537016.124073701	526113.8502738149	515126.0876788463	528421.0956539798	519643.5432851068	533885.26500807	530370.8149750023	P82933	P82933		MRPS9	0	0.05140198403573961	-0.05911982872047503	False	0.03157741841773991	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q96TC7	125235.57051719836	123159.34629582825	133808.82830973747	129975.52950596332	128170.5724003996	123321.74238527312	121322.52947383368	148786.99270453362	130015.28253557338	132145.64300653574	142820.76556496942	134630.8917285849	135118.3364005919	160769.44017879735	136652.04377173955	123326.9238727988	143865.70489695464	138280.28270093986	Q96TC7	Q96TC7		RMDN3	0	0.051447232587314706	-0.1003283774798483	False	0.031582260094896876	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q9UFC0	447947.8629185783	416652.8993335234	412612.3282028422	436895.7662966328	413283.7560444408	405192.6400906541	414781.885972072	410791.5881978552	387452.05687844753	426214.63461609103	432873.32157725736	439082.0884840455	457571.7276949521	434997.4496458329	438305.6125896096	428709.1135993639	424772.8633467239	405032.6451375112	Q9UFC0	Q9UFC0		LRWD1	0	0.05148934613625105	-0.05366374691099705	False	0.031587101772053844	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q15758	1248292.4646914415	1241761.4329367816	1481950.4049290034	1227653.6788399804	1248593.1972937998	1278840.0654297674	1286593.193315367	1383777.265141566	1333119.5985715163	1434525.4698695762	1326596.4676652355	1352746.4203519814	1396719.469133444	1404644.8822902516	1270811.1490890493	1350496.767203536	1387767.7527890468	1444746.890571956	Q15758	Q15758		SLC1A5	0	0.05163621373950147	-0.07646080657467216	False	0.031591943449210805	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q8TCE6	16983.204518288898	21926.235604291986	21278.929444990084	21272.293915623504	24194.49809875857	21123.07219701025	22613.199942214807	22336.034025700665	19126.06448109177	28577.756479209675	23176.919510663185	22798.85188106235	22898.03633998949	23198.031162612977	20323.17844780321	29933.97700295587	20739.301922018298	23894.000842543053	Q8TCE6	Q8TCE6		DENND10	0	0.05167317813947688	-0.17549010125284817	False	0.03159678512636777	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q92622	22756.29816705678	20659.372746039324	23016.10162336314	25063.006225320685	25933.19391328795	26184.4883811022	23957.024394066844	23508.50959548637	23661.445364389307	21891.33055336049	21653.634599031306	24155.162626953843	23166.118951571912	19093.836177252964	22365.49464675473	23249.126207456768	19714.51367984549	23919.71741280145	Q92622	Q92622		RUBCN	0	0.05174639941465245	0.10830483392064937	False	0.03160162680352474	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q8WV60	42640.27681866527	49563.939895009455	50094.77541181233	46388.0908000858	48748.6888896773	51797.22835084616	47038.98271974926	49028.28143576224	52217.86217969194	53122.32178715371	48662.12055049169	50579.158802266815	52924.21199965574	49807.23052306912	54391.59807206113	46649.097837201545	51559.450988004166	56058.77148538409	Q8WV60	Q8WV60		PTCD2	0	0.05185510325427872	-0.08401681788509749	False	0.03160646848068171	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q14156	29075.67914017433	25543.022269063287	26352.952734436585	31510.178504304287	34561.96915816523	33090.814931155684	29063.983685070198	26034.628578865293	32438.132345354297	33706.70130123714	34730.10362149246	28938.424040767422	33366.53230737426	32646.36243303328	31540.97083972048	31636.37331428404	31398.73889714385	34087.77955381162	Q14156	Q14156		EFR3A	0	0.0518685410989441	-0.12576240626634114	False	0.031611310157838676	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q5T1M5	265376.9019415871	268116.8408622961	279033.04494705045	269480.25944331934	276107.15434643714	262798.3928500215	268814.32981037424	267822.6871946122	241783.682386842	289197.0792361728	278376.62946762244	285322.269048768	263402.3794899358	272204.9577795354	276425.73484493955	270217.5637541336	268308.47185114096	281171.55786351283	Q5T1M5	Q5T1M5		FKBP15	0	0.05187815198762115	-0.050395501280784405	False	0.031616151834995644	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
P47985	737910.6771764562	728070.4156441443	737540.9085742134	699774.5058034098	690077.1439392762	722192.0064524907	724393.5032533738	741763.7277159358	758273.0674582244	757888.7393152058	758586.0248084196	754755.5634100862	852929.1386949247	730854.4346907483	707270.0934850686	803392.6863925838	758399.1425878213	729630.4552859176	P47985	P47985		UQCRFS1	0	0.05196311579021172	-0.06759462163779933	False	0.03162099351215261	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q92530	275796.5215066766	283061.0532089717	259866.2661969892	257542.13770837407	284694.5104080385	244232.9674216272	290708.36157390603	264200.2032182664	262780.33315813023	294979.4063048836	280672.64934094204	284484.7402528626	277357.3753991396	284361.51418352907	278062.8378556802	290811.8549910837	270709.3242431874	272493.4153850674	Q92530	Q92530		PSMF1	0	0.05209958395571813	-0.06465409076788463	False	0.03162583518930958	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
O43865	245839.652924776	241143.47025492816	254773.42797105535	251297.14252650025	236088.60765290732	243440.99933970344	255377.76894900325	240144.57285008545	244499.11971053312	277700.921501042	268132.7578284549	253566.29917165032	264367.56416213355	263926.20829030505	235886.29877774583	245646.83625698776	259162.38631001225	242119.9729087009	O43865	O43865		AHCYL1	0	0.05220049032114428	-0.06246509688842448	False	0.03163067686646655	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q8N806	77114.87519943688	85352.47401882944	81849.91238487505	89499.55691802209	95640.86933826204	88929.10207812143	92583.49941771172	86963.80999939256	92514.00318226629	93608.43133972403	88640.91025329534	95772.48717850802	88265.7335906363	94413.90987633198	89444.35576506374	89221.96859707721	97060.20728401262	98456.7309103884	Q8N806	Q8N806		UBR7	0	0.05236330370174457	-0.07890628662972779	False	0.031635518543623516	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q5S007	12590.753717555655	13750.548830000002	6594.657444525409	12502.784252534386	10160.762640163566	176.48165593763702	15068.555725193984	11253.616448448864	309.7196353301593	9180.341888122575	7147.8622252273135	315.14893003969803	7520.955916242811	5442.623097566244	161.87386971171185	7601.811615791843	181.1262559742359	2243.5026534375984	Q5S007	Q5S007		LRRK2	5	0.05238518219950743	1.0501861924700524	False	0.03164036022078048	False	True	Human	True	False	False	False	diatracer	directlfq	min	0.5
P43582	150554.35867217655	102337.90486733736	66703.8508306324	95237.2636842948	84445.91733631093	92067.7338616288	98576.30938569704	59068.40481438539	67263.7823354827	79081.41515918386	71246.68592273553	55153.42299671791	90600.99914206711	71682.03753409478	55281.8233991073	82929.40060786842	67441.77346449085	41180.610771266	P43582	P43582		WWM1	0	0.052416191604381206	0.4093773843946219	False	0.031645201897937444	False	False	Yeast	False	False	True	False	diatracer	directlfq	min	0.5
Q9H063	40740.41782457962	33599.09031720861	31798.28996192696	34191.57999060319	33967.12389710259	28384.318664112467	32401.21719828413	34287.26516702628	36090.26109154543	37787.46035368738	35302.296026225195	37919.15929867895	40306.24083394845	36822.92257124351	33229.83242887554	40982.792591884805	34888.360495718625	34927.1340818586	Q9H063	Q9H063		MAF1	0	0.052421976812881826	-0.12092385902450146	False	0.03165004357509441	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q96I36	5200.662218056843	4910.1611330000005	6019.576585479306	6674.75011349384	6790.6558990998265	6098.225036710892	5925.27992323518	5999.265516160818	7484.913245582729	4427.540524769446	4850.129291699429	5395.624717261858	4842.073344761608	5442.570530223721	6628.9703285142	5406.1545010143	6171.776186139917	5387.59461009275	Q96I36	Q96I36		COX14	0	0.05244272714918767	0.1826000639380472	False	0.03165488525225138	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q8WV22	58299.59533242207	65323.64800650075	58316.71782534434	71680.92468030639	66592.9794384198	68533.14039920668	72424.2214584023	68117.7659489781	65649.64598908866	69028.527123529	64711.83009878792	74279.05871587888	67397.87235126902	71473.0864819727	66678.79752227533	71747.10585073917	74898.18452312105	74441.59946133943	Q8WV22	Q8WV22		NSMCE1	0	0.05244538416333132	-0.09323408779094808	False	0.03165972692940835	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q9ULW0	531669.368618707	526423.6254307835	561746.0626816702	548703.3383445158	565498.2116237009	581358.7580454899	582058.3699587318	556644.221018822	564512.1025875092	560348.629138889	567675.5160959964	587275.2125836835	573851.8477276342	566925.584550119	571702.1706272275	593494.8675799937	570748.7572558442	568445.9180349131	Q9ULW0	Q9ULW0		TPX2	0	0.05267521291180228	-0.040213045425790454	False	0.031664568606565316	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
O14656	27727.687683635697	30368.973419714643	28097.40001027929	29841.859492919197	32131.865061529632	27161.65308749764	29893.93195997786	31837.461209393856	29875.13284490199	28258.916640222404	29455.797708744216	35495.64935267056	33465.42408454066	35997.29813697963	35586.560288199726	29185.12832975936	30423.51303186337	31498.83521206877	O14656	O14656		TOR1A	0	0.052807177238211996	-0.1164073200361763	False	0.031669410283722284	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q8NCN4	111563.21225778856	103051.58011840245	99963.3921670404	113139.66149043672	119416.9207884447	105576.22291041396	114810.31250496148	114534.56619598076	110758.77150959388	114675.57007470366	120635.9059877567	121174.5284108371	106176.89221023396	115708.09321238668	113224.23453957176	115262.40110071	125842.03916935256	113206.0578963105	Q8NCN4	Q8NCN4		RNF169	0	0.05281263397573697	-0.07515651909335098	False	0.03167425196087925	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q96GI7	18732.84410694138	19343.50977	24636.550933853967	17759.80941430929	18278.856616084864	19704.418590606118	15807.26072984751	14981.736556516724	23056.743240342228	25268.020402347243	18757.76718444641	16959.54136481137	20049.63764781958	26906.74252557352	23396.6675342685	25271.87242599178	19408.227251967688	28278.79701432761	Q96GI7	Q96GI7		FAM89A	0	0.05281773962901659	-0.24573276260118523	False	0.03167909363803622	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q5HYI8	25476.87390272397	23247.34055397949	26680.9688351828	27537.441930657445	29618.761667745763	28049.984618465365	26636.58984609834	23819.183759521307	28315.27903733258	30650.688504191323	31298.23988385596	31553.8995496584	30381.035934851112	28287.70258576687	27470.10334368331	25626.552380589328	24748.498414200178	29793.19787418428	Q5HYI8	Q5HYI8		RABL3	0	0.052869547730587586	-0.11813927683750791	False	0.03168393531519319	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q9NUG6	54719.30528785617	59949.24866678176	56677.14805649126	51750.93566200491	55606.88245789365	59999.39979074653	51339.163961038656	55514.196963241135	60577.66299793969	62932.65839754143	68057.16407063935	65734.85141558042	52072.026919911135	61540.668186404815	64917.2142309921	48951.83367831574	68164.62521715002	62730.71956520673	Q9NUG6	Q9NUG6		PDRG1	0	0.05287272529422061	-0.1332330398202016	False	0.03168877699235015	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
Q14592	19926.95717135661	21238.33847327149	17444.36352844708	23404.41476251237	23228.86254554408	22034.669740322264	20835.71400696343	19956.084154857723	21179.45707882813	21324.55292960649	26382.942952390364	27124.12157922853	23058.711733571152	22545.4233264066	18518.28583917392	25664.24061552895	23590.519644757376	21847.561349993983	Q14592	Q14592		ZNF460	0	0.05292172857486329	-0.1504918467546834	False	0.031693618669507116	False	False	Human	True	False	False	False	diatracer	directlfq	min	0.5
